"","LocYrWNTC","LocYrWNTCCO2.x","Yield.x","Zn.x","Fe.x","protein.x","CO2.x","watering.x","fert.x","Loc.x","Yr.x","TOS.x","Cv.x","LocYrWNTCCO2.y","Yield.y","Zn.y","Fe.y","protein.y","CO2.y","watering.y","fert.y","Loc.y","Yr.y","TOS.y","Cv.y","RRYield","RRZn","RRFe","RRprotein"
"24","Horsham__Australia 2008 75 Medium TOS_2 Yitpi ","Horsham__Australia 2008 75 Medium TOS_2 Yitpi aCO2",154.7,30.855,36.32,15.19,"aCO2","75","Medium","Horsham__Australia","2008","TOS_2","Yitpi","Horsham__Australia 2008 75 Medium TOS_2 Yitpi eCO2",115.595,32.2975,38.51,16.475,"eCO2","75","Medium","Horsham__Australia","2008","TOS_2","Yitpi",1.33829317877071,0.955337100394767,0.943131654115814,0.922003034901366
"25","Horsham__Australia 2009 187 Low TOS_2 Drysdale ","Horsham__Australia 2009 187 Low TOS_2 Drysdale aCO2",125.21,43.5975,46.6875,16.1775,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Drysdale","Horsham__Australia 2009 187 Low TOS_2 Drysdale eCO2",222.4925,26.9975,44.1275,14.92,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Drysdale",0.562760542490196,1.61487174738402,1.05801371027137,1.08428284182306
"26","Horsham__Australia 2009 187 Low TOS_2 Gladius ","Horsham__Australia 2009 187 Low TOS_2 Gladius aCO2",100.54,37.5525,49.175,17.7275,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Gladius","Horsham__Australia 2009 187 Low TOS_2 Gladius eCO2",143.8175,28.24,41.72,15.5575,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Gladius",0.699080431797243,1.32976274787535,1.17869127516779,1.13948256467941
"27","Horsham__Australia 2009 187 Low TOS_2 H45 ","Horsham__Australia 2009 187 Low TOS_2 H45 aCO2",169.5875,29.005,44.2675,16.9925,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","H45","Horsham__Australia 2009 187 Low TOS_2 H45 eCO2",239.255,24.5825,39.375,14.6925,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","H45",0.708814862803285,1.1799044035391,1.12425396825397,1.15654245363281
"28","Horsham__Australia 2009 187 Low TOS_2 Hartog ","Horsham__Australia 2009 187 Low TOS_2 Hartog aCO2",139.66,40.8725,46.675,16.2475,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Hartog","Horsham__Australia 2009 187 Low TOS_2 Hartog eCO2",143.1475,27.69,42.6875,14.9175,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Hartog",0.9756370177614,1.47607439508848,1.09341142020498,1.0891570303335
"29","Horsham__Australia 2009 187 Low TOS_2 Janz ","Horsham__Australia 2009 187 Low TOS_2 Janz aCO2",151.66,31.8175,41.47,16.6125,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Janz","Horsham__Australia 2009 187 Low TOS_2 Janz eCO2",220.4775,24.2,41.8825,14.795,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Janz",0.687870644396821,1.31477272727273,0.990151017728168,1.12284555593106
"30","Horsham__Australia 2009 187 Low TOS_2 Silverstar ","Horsham__Australia 2009 187 Low TOS_2 Silverstar aCO2",125.25,34.3775,51.4425,17.255,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Silverstar","Horsham__Australia 2009 187 Low TOS_2 Silverstar eCO2",205.63,27.205,47.42,16,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Silverstar",0.609103730000486,1.26364638853152,1.08482707718262,1.0784375
"31","Horsham__Australia 2009 187 Low TOS_2 Yitpi ","Horsham__Australia 2009 187 Low TOS_2 Yitpi aCO2",129.68,33.2966666666667,50.95,17.3233333333333,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Yitpi","Horsham__Australia 2009 187 Low TOS_2 Yitpi eCO2",206.11,25.5775,44.2625,15.5725,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Yitpi",0.629178593954684,1.30179519760206,1.15108726348489,1.1124311018355
"32","Horsham__Australia 2009 187 Low TOS_2 Zebu ","Horsham__Australia 2009 187 Low TOS_2 Zebu aCO2",131.99,37.545,52.8875,19.04,"aCO2","187","Low","Horsham__Australia","2009","TOS_2","Zebu","Horsham__Australia 2009 187 Low TOS_2 Zebu eCO2",171.3975,28.955,47.3875,17.12,"eCO2","187","Low","Horsham__Australia","2009","TOS_2","Zebu",0.770081243892122,1.29666724227249,1.11606436296492,1.11214953271028
"33","Horsham__Australia 2009 187 Medium TOS_2 Yitpi ","Horsham__Australia 2009 187 Medium TOS_2 Yitpi aCO2",105.4275,42.815,51.9225,18.3775,"aCO2","187","Medium","Horsham__Australia","2009","TOS_2","Yitpi","Horsham__Australia 2009 187 Medium TOS_2 Yitpi eCO2",204.31,27.3275,47.4575,16.23,"eCO2","187","Medium","Horsham__Australia","2009","TOS_2","Yitpi",0.516017326611522,1.56673680358613,1.09408418058263,1.13231669747381
"34","Horsham__Australia 2009 223 Low TOS_1 Drysdale ","Horsham__Australia 2009 223 Low TOS_1 Drysdale aCO2",258.8425,29.4,41.1725,15.1,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Drysdale","Horsham__Australia 2009 223 Low TOS_1 Drysdale eCO2",285.0925,32.5275,40.64,14.1,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Drysdale",0.907924620956356,0.90385058796403,1.01310285433071,1.0709219858156
"35","Horsham__Australia 2009 223 Low TOS_1 Gladius ","Horsham__Australia 2009 223 Low TOS_1 Gladius aCO2",297.605,24.7225,39.255,14.7275,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Gladius","Horsham__Australia 2009 223 Low TOS_1 Gladius eCO2",315.965,26.85,39.03,14.905,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Gladius",0.941892298197585,0.920763500931099,1.00576479631053,0.988091244548809
"36","Horsham__Australia 2009 223 Low TOS_1 H45 ","Horsham__Australia 2009 223 Low TOS_1 H45 aCO2",395.366666666667,27.1733333333333,35.54,13.38,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","H45","Horsham__Australia 2009 223 Low TOS_1 H45 eCO2",372.315,24.96,35.94,12.685,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","H45",1.06191441834647,1.08867521367521,0.988870339454647,1.05478912100907
"37","Horsham__Australia 2009 223 Low TOS_1 Hartog ","Horsham__Australia 2009 223 Low TOS_1 Hartog aCO2",222.903333333333,29.7266666666667,39.3666666666667,14.5633333333333,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Hartog","Horsham__Australia 2009 223 Low TOS_1 Hartog eCO2",205.4375,29.965,41.265,14.3775,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Hartog",1.08501774667884,0.992046276211135,0.953996526515611,1.01292528835565
"38","Horsham__Australia 2009 223 Low TOS_1 Janz ","Horsham__Australia 2009 223 Low TOS_1 Janz aCO2",285.905,28.56,36.0725,15.2625,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Janz","Horsham__Australia 2009 223 Low TOS_1 Janz eCO2",336.035,27.035,36.495,14.2375,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Janz",0.850819111104498,1.05640835953394,0.988423071653651,1.071992976295
"39","Horsham__Australia 2009 223 Low TOS_1 Silverstar ","Horsham__Australia 2009 223 Low TOS_1 Silverstar aCO2",281.3025,26.02,38.5,14.04,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Silverstar","Horsham__Australia 2009 223 Low TOS_1 Silverstar eCO2",367.96,26.105,36.7975,13.235,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Silverstar",0.764492064354821,0.996743918789504,1.04626673007677,1.0608235738572
"40","Horsham__Australia 2009 223 Low TOS_1 Yitpi ","Horsham__Australia 2009 223 Low TOS_1 Yitpi aCO2",274.15,28.6525,42.0925,15.205,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Yitpi","Horsham__Australia 2009 223 Low TOS_1 Yitpi eCO2",292.5375,28.8125,38.1725,14.5625,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Yitpi",0.937144810494381,0.994446854663774,1.10269172833846,1.04412017167382
"41","Horsham__Australia 2009 223 Low TOS_1 Zebu ","Horsham__Australia 2009 223 Low TOS_1 Zebu aCO2",299.1525,25.1325,41.9525,14.4725,"aCO2","223","Low","Horsham__Australia","2009","TOS_1","Zebu","Horsham__Australia 2009 223 Low TOS_1 Zebu eCO2",432.5225,25.6,40.27,13.5525,"eCO2","223","Low","Horsham__Australia","2009","TOS_1","Zebu",0.691646099335873,0.98173828125,1.0417804817482,1.06788415421509
"42","Horsham__Australia 2009 223 Medium TOS_1 Yitpi ","Horsham__Australia 2009 223 Medium TOS_1 Yitpi aCO2",263.385,33.235,44.0275,16.07,"aCO2","223","Medium","Horsham__Australia","2009","TOS_1","Yitpi","Horsham__Australia 2009 223 Medium TOS_1 Yitpi eCO2",297.1,28.2375,41.15,14.845,"eCO2","223","Medium","Horsham__Australia","2009","TOS_1","Yitpi",0.886519690339953,1.17698096502877,1.06992709599028,1.08251936679016
"43","Horsham__Australia 2009 247 Low TOS_2 Drysdale ","Horsham__Australia 2009 247 Low TOS_2 Drysdale aCO2",126.155,35.325,41.83,15.6375,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Drysdale","Horsham__Australia 2009 247 Low TOS_2 Drysdale eCO2",188.9225,30.9125,43.1575,15.0775,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Drysdale",0.667760589659781,1.14274160938132,0.969240572322308,1.03714143591444
"44","Horsham__Australia 2009 247 Low TOS_2 Gladius ","Horsham__Australia 2009 247 Low TOS_2 Gladius aCO2",139.5975,32.5775,46.1825,17.1025,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Gladius","Horsham__Australia 2009 247 Low TOS_2 Gladius eCO2",191.15,29.965,43.85,15.985,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Gladius",0.730303426628302,1.08718504922409,1.05319270239453,1.06990928995934
"45","Horsham__Australia 2009 247 Low TOS_2 H45 ","Horsham__Australia 2009 247 Low TOS_2 H45 aCO2",185.5625,31.9,42.8875,16.3175,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","H45","Horsham__Australia 2009 247 Low TOS_2 H45 eCO2",244.5,23.575,36.3075,13.8675,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","H45",0.758946830265849,1.35312831389183,1.18122977346278,1.17667207499549
"46","Horsham__Australia 2009 247 Low TOS_2 Hartog ","Horsham__Australia 2009 247 Low TOS_2 Hartog aCO2",128.4225,38.615,42.865,15.8075,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Hartog","Horsham__Australia 2009 247 Low TOS_2 Hartog eCO2",174.2425,30.305,42.2725,14.915,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Hartog",0.737033157811671,1.27421217620855,1.0140162043882,1.05983908816628
"47","Horsham__Australia 2009 247 Low TOS_2 Janz ","Horsham__Australia 2009 247 Low TOS_2 Janz aCO2",175.0275,25.0275,40.135,15.435,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Janz","Horsham__Australia 2009 247 Low TOS_2 Janz eCO2",258.9275,22.895,33.6875,13.21,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Janz",0.67597107298375,1.09314260755623,1.19139146567718,1.16843300529902
"48","Horsham__Australia 2009 247 Low TOS_2 Silverstar ","Horsham__Australia 2009 247 Low TOS_2 Silverstar aCO2",131.565,35.49,49,16.9725,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Silverstar","Horsham__Australia 2009 247 Low TOS_2 Silverstar eCO2",299.95,26.19,43.54,14.7125,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Silverstar",0.438623103850642,1.35509736540664,1.12540192926045,1.1536108751062
"49","Horsham__Australia 2009 247 Low TOS_2 Yitpi ","Horsham__Australia 2009 247 Low TOS_2 Yitpi aCO2",138.19,36.285,47.5125,17.13,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Yitpi","Horsham__Australia 2009 247 Low TOS_2 Yitpi eCO2",192.25,29.14,46.4525,16.75,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Yitpi",0.718803641092328,1.24519560741249,1.02281900866477,1.02268656716418
"50","Horsham__Australia 2009 247 Low TOS_2 Zebu ","Horsham__Australia 2009 247 Low TOS_2 Zebu aCO2",194.46,31.0175,48.0725,16.8375,"aCO2","247","Low","Horsham__Australia","2009","TOS_2","Zebu","Horsham__Australia 2009 247 Low TOS_2 Zebu eCO2",308.2875,26.205,43.1425,15.45,"eCO2","247","Low","Horsham__Australia","2009","TOS_2","Zebu",0.630774844909378,1.18364815874833,1.11427246914296,1.08980582524272
