Cyprus,"Age population, age 01, female, interpolated",6396
Cyprus,"Age population, age 01, male, interpolated",6844
Cyprus,"Age population, age 02, female, interpolated",6222
Cyprus,"Age population, age 02, male, interpolated",6698
Czech Republic,"Age population, age 0, female, interpolated",59501
Czech Republic,"Age population, age 0, male, interpolated",61947
Czech Republic,"Age population, age 01, female, interpolated",60563
Czech Republic,"Age population, age 01, male, interpolated",62990
Czech Republic,"Age population, age 02, female, interpolated",58806
Czech Republic,"Age population, age 02, male, interpolated",61501
Denmark,"Age population, age 0, female, interpolated",31720
Denmark,"Age population, age 0, male, interpolated",33833
Denmark,"Age population, age 01, female, interpolated",31993
Denmark,"Age population, age 01, male, interpolated",34081
Denmark,"Age population, age 02, female, interpolated",31831
Denmark,"Age population, age 02, male, interpolated",33678
Djibouti,"Age population, age 0, female, interpolated",10992
Djibouti,"Age population, age 0, male, interpolated",11323
Djibouti,"Age population, age 01, female, interpolated",10818
Djibouti,"Age population, age 01, male, interpolated",11134
Djibouti,"Age population, age 02, female, interpolated",10476
Djibouti,"Age population, age 02, male, interpolated",10774
Dominica,"Age population, age 0, female, interpolated",1000
Dominica,"Age population, age 0, male, interpolated",1000
Dominica,"Age population, age 01, female, interpolated",1000
Dominica,"Age population, age 01, male, interpolated",1000
Dominica,"Age population, age 02, female, interpolated",1000
Dominica,"Age population, age 02, male, interpolated",1000
Dominican Republic,"Age population, age 0, female, interpolated",103503
Dominican Republic,"Age population, age 0, male, interpolated",107642
Dominican Republic,"Age population, age 01, female, interpolated",104115
Dominican Republic,"Age population, age 01, male, interpolated",108320
Dominican Republic,"Age population, age 02, female, interpolated",104637
Dominican Republic,"Age population, age 02, male, interpolated",108912
East Asia & Pacific (all income levels),"Age population, age 0, female, interpolated",
East Asia & Pacific (all income levels),"Age population, age 0, male, interpolated",
East Asia & Pacific (all income levels),"Age population, age 01, female, interpolated",
East Asia & Pacific (all income levels),"Age population, age 01, male, interpolated",
East Asia & Pacific (all income levels),"Age population, age 02, female, interpolated",
East Asia & Pacific (all income levels),"Age population, age 02, male, interpolated",
East Asia & Pacific (developing only),"Age population, age 0, female, interpolated",
East Asia & Pacific (developing only),"Age population, age 0, male, interpolated",
East Asia & Pacific (developing only),"Age population, age 01, female, interpolated",
East Asia & Pacific (developing only),"Age population, age 01, male, interpolated",
East Asia & Pacific (developing only),"Age population, age 02, female, interpolated",
East Asia & Pacific (developing only),"Age population, age 02, male, interpolated",
Ecuador,"Age population, age 0, female, interpolated",155394
