"","summary.metaplants1.Author.","summary.metaplants2.Author.","summary.metaplants3.Author.","summary.metaplants7.Author.","summary.metaplants9.Author.","summary.metaplants10.Author.","summary.metaplants12.Author.","summary.metaplants13.Author.","summary.metaplants15.Author.","summary.metaplants18.Author.","summary.metaplants20.Author.","summary.metaplantsC3.Author.","summary.metaplantsC4.Author.","summary.metaplantsRoot.Author.","summary.metaplantsOil.Author.","summary.metaplantsVeg.Author."
"Wolf_1996",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"wolf_1996_faba_bean",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"wolf_1998_sugar_beet",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Wroblewitz_et_al_2013",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Wroblewitz_et_al_2013_",0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
"Wu_et_al._1997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Wu_et_al_2004",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Yang_et_al._2007",0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"zhang_et_al_2013_rice",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"zhang_et_al_2013_rice,_own_data",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ziska_et_al._1997",0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Ziska_et_al._2004",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
