,country,protein.amb.g,protein.amb.cal,protein.co2.g,protein.co2.cal,protein.co2.g.SE,countrycode,energy,protein.percent.decrease,protein.percent.decrease.SE,protein.calorie.ratio.difference,protein.calorie.ratio.SE,order.by.protein.percent,order.by.energy.difference,,gproteinCiub,gproteinCilb,,ratiodifferenceCiub,ratiodifferenceCilb
49,"China, Taiwan Province of",81,344.25,78.21532882,332.4151475,0.432449679,TWN,2886,-3.43786566,0.533888492,-0.41007805,0.063683685,134,113,1.046421444,-2.391444216,-4.484287104,0.124820023,-0.285258027,-0.534898073
139,Mozambique,42,178.5,40.55905864,172.3759992,1.53220474,MOZ,2259,-3.430812771,3.648106523,-0.271093439,0.288263397,135,206,7.150288785,3.719476014,-10.58110156,0.564996258,0.293902819,-0.836089697
68,Ecuador,62,263.5,59.87884488,254.4850907,0.212738103,ECU,2434,-3.421217942,0.343125972,-0.370374251,0.037146135,136,157,0.672526905,-2.748691037,-4.093744847,0.072806425,-0.297567826,-0.443180676
223,United Republic of Tanzania,54,229.5,52.15397953,221.654413,1.350419545,TZA,2160,-3.418556422,2.500776935,-0.36322162,0.265707549,137,161,4.901522793,1.482966371,-8.320079215,0.520786796,0.157565176,-0.884008416
107,Kenya,60,255,57.94952109,246.2854646,1.31009651,KEN,2179,-3.417464845,2.183494184,-0.399932784,0.255525937,138,125,4.279648601,0.862183756,-7.697113446,0.500830837,0.100898053,-0.900763621
221,United Arab Emirates,93,395.25,89.82604254,381.7606808,0.507925203,ARE,3171,-3.412857484,0.546156132,-0.42539638,0.068075752,139,100,1.070466019,-2.342391465,-4.483323503,0.133428474,-0.291967906,-0.558824854
101,Israel,118,501.5,113.9734313,484.3870828,0.459287082,ISR,3551,-3.412346398,0.38922634,-0.481918254,0.054969589,140,73,0.762883626,-2.649462772,-4.175230024,0.107740394,-0.37417786,-0.589658648
16,Bahamas,72,306,69.54893808,295.5829868,0.288546384,BHS,2435,-3.404252669,0.400758866,-0.427803416,0.050362305,141,97,0.785487377,-2.618765292,-4.189740046,0.098710118,-0.329093298,-0.526513534
22,Belize,64,272,61.83036093,262.779034,0.736713192,BLZ,2706,-3.390061042,1.151114362,-0.340760016,0.115706987,142,182,2.25618415,-1.133876892,-5.646245192,0.226785695,-0.113974321,-0.567545711
100,Ireland,96,408,92.75091878,394.1914048,0.407512368,IRL,3532,-3.384459608,0.42449205,-0.390956829,0.049035322,143,133,0.832004418,-2.55245519,-4.216464026,0.096109231,-0.294847598,-0.48706606
141,Namibia,58,246.5,56.03742286,238.1590472,0.500876498,NAM,2069,-3.383753686,0.863580169,-0.403139335,0.102886666,144,120,1.692617131,-1.691136555,-5.076370817,0.201657865,-0.20148147,-0.6047972
151,Nigeria,61,259.25,58.94404757,250.5122022,0.598648278,NGA,2704,-3.370413816,0.98139062,-0.32314341,0.094092277,145,189,1.923525615,-1.446888201,-5.293939431,0.184420863,-0.138722547,-0.507564273
14,Austria,101,429.25,97.60602803,414.8256191,0.295367058,AUT,3723,-3.360368283,0.292442632,-0.387439722,0.033717701,146,141,0.573187559,-2.787180724,-3.933555842,0.066086694,-0.321353028,-0.453526416
114,Least Developed Countries,57,242.25,55.0949023,234.1533348,0.523571377,,2310,-3.342276675,0.918546275,-0.350504989,0.096328067,147,173,1.800350699,-1.541925976,-5.142627374,0.188803011,-0.161701978,-0.539308
29,Brazil,90,382.5,87.00463438,369.7696961,1.703885713,BRA,3246,-3.328184021,1.893206347,-0.392184346,0.223090397,148,132,3.71068444,0.382500419,-7.038868461,0.437257178,0.045072832,-0.829441524
212,Togo,54,229.5,52.2170687,221.922542,1.399158244,TGO,2355,-3.30172463,2.591033786,-0.321760426,0.252502019,149,190,5.078426221,1.776701591,-8.380150851,0.494903957,0.173143531,-0.816664383
77,Fiji,71,301.75,68.65974089,291.8038988,0.406222573,FJI,2900,-3.296139599,0.572144469,-0.342969008,0.059532618,150,181,1.121403159,-2.17473644,-4.417542758,0.116683931,-0.226285077,-0.459652939
79,France,106,450.5,102.5169043,435.6968432,0.392864961,FRA,3452,-3.285939352,0.370627321,-0.428828412,0.048368369,151,95,0.726429549,-2.559509803,-4.012368901,0.094802003,-0.334026409,-0.523630415
136,Mongolia,69,293.25,66.73422656,283.6204629,0.232311475,MNG,2406,-3.283729619,0.336683297,-0.400230137,0.041035901,152,124,0.659899262,-2.623830357,-3.943628881,0.080430366,-0.319799771,-0.480660503
91,Guyana,71,301.75,68.6716436,291.8544853,0.266688899,GUY,2628,-3.279375208,0.375618168,-0.376541655,0.043128912,153,149,0.736211609,-2.543163599,-4.015586817,0.084532668,-0.292008987,-0.461074323
232,Western Europe,100,425,96.72163665,411.0669558,0.366130773,,3460,-3.278363352,0.366130773,-0.40268914,0.044972711,154,121,0.717616315,-2.560747037,-3.995979667,0.088146514,-0.314542626,-0.490835654
57,Cyprus,72,306,69.63964299,295.9684827,0.292297926,CYP,2581,-3.278273631,0.405969342,-0.388667854,0.048131197,155,137,0.79569991,-2.482573721,-4.073973541,0.094337146,-0.294330708,-0.483005
44,Chile,79,335.75,76.41522217,324.7646942,0.378679379,CHL,2951,-3.271870666,0.479340986,-0.372257057,0.054537017,156,153,0.939508333,-2.332362333,-4.211378999,0.106892553,-0.265364504,-0.47914961
129,Mauritania,77,327.25,74.48413021,316.5575534,0.450273497,MRT,2763,-3.267363361,0.584770775,-0.386986848,0.06926031,157,142,1.146150719,-2.121212642,-4.41351408,0.135750208,-0.25123664,-0.522737056
196,South America,80,340,77.38740313,328.8964633,1.066609773,,2980,-3.265746087,1.333262216,-0.372601903,0.152117166,158,152,2.613193943,-0.652552144,-5.87894003,0.298149645,-0.074452258,-0.670751548
93,Honduras,63,267.75,60.97362216,259.1378942,1.171825213,HND,2614,-3.216472768,1.860040021,-0.32946082,0.190522462,159,185,3.645678441,0.429205673,-6.862151209,0.373424026,0.043963206,-0.702884846
156,Norway,99,420.75,95.81834263,407.2279562,0.321105925,NOR,3343,-3.213795326,0.324349419,-0.404488299,0.04082262,160,118,0.635724861,-2.578070465,-3.849520187,0.080012335,-0.324475964,-0.484500634
183,Senegal,56,238,54.20347371,230.3647633,0.335058774,SEN,2412,-3.208082668,0.59831924,-0.316552104,0.059038134,161,194,1.17270571,-2.035376958,-4.380788378,0.115714743,-0.200837361,-0.432266847
119,Lithuania,117,497.25,113.2682487,481.3900571,0.4221866,LTU,3387,-3.189530995,0.360843248,-0.468259311,0.05297588,162,78,0.707252766,-2.482278229,-3.896783761,0.103832725,-0.364426586,-0.572092036
