,countrycode,order,FAO_Food_security__numbers,SD_Food_security_,CofV_food_security,Country.y,GINI,year
84,JOR,87,NA,NA,NA,Jordan,35.43,2010
86,KAZ,88,NA,NA,NA,Kazakhstan,29.04,2009
87,KEN,89,52.4,38.83,0.741030534,Kenya,47.68,2005
90,KIR,90,NA,NA,NA,Kiribati,NA,NA
93,KWT,91,NA,NA,NA,Kuwait,NA,NA
88,KGZ,92,NA,NA,NA,Kyrgyz Republic,33.38,2011
94,LAO,93,69.09,25.98,0.376031264,Lao PDR,36.74,2008
103,LVA,94,NA,NA,NA,Latvia,34.81,2009
95,LBN,95,NA,NA,NA,Lebanon,NA,NA
100,LSO,96,NA,NA,NA,Lesotho,52.5,2003
96,LBR,97,NA,NA,NA,Liberia,38.16,2007
97,LBY,98,NA,NA,NA,Libya,NA,NA
101,LTU,99,86.5,42.66,0.493179191,Lithuania,37.57,2008
102,LUX,100,NA,NA,NA,Luxembourg,30.76,2000
106,MDG,101,NA,NA,NA,Madagascar,44.11,2010
118,MWI,102,74.32,168.04,NA,Malawi,43.91,2010
119,MYS,103,NA,NA,NA,Malaysia,46.21,2009
107,MDV,104,NA,NA,NA,Maldives,37.37,2004
110,MLI,105,63.49,23.67,0.372814616,Mali,33.02,2010
111,MLT,106,NA,NA,NA,Malta,NA,NA
116,MRT,108,NA,NA,NA,Mauritania,40.46,2008
117,MUS,109,NA,NA,NA,Mauritius,NA,NA
108,MEX,110,78.51,51.69,0.658387467,Mexico,47.16,2010
58,FSM,111,78.11,47.11,0.6031238,"Micronesia, Fed. Sts.",61.1,2000
114,MNG,113,NA,NA,NA,Mongolia,36.52,2008
113,MNE,114,NA,NA,NA,Montenegro,28.58,2010
104,MAR,115,NA,NA,NA,Morocco,40.88,2007
115,MOZ,116,51.6,142.01,NA,Mozambique,45.66,2008
112,MMR,117,NA,NA,NA,Myanmar,NA,NA
120,NAM,118,NA,NA,NA,Namibia,63.9,2004
127,NPL,120,50.51,23.25,0.46030489,Nepal,32.82,2010
125,NLD,121,NA,NA,NA,Netherlands,30.9,1999
128,NZL,122,NA,NA,NA,New Zealand,36.17,1997
124,NIC,123,NA,NA,NA,Nicaragua,40.47,2005
122,NER,124,56.73,21.77,0.383747576,Niger,34.55,2008
123,NGA,125,NA,NA,NA,Nigeria,48.83,2010
126,NOR,127,NA,NA,NA,Norway,25.79,2000
129,OMN,128,NA,NA,NA,Oman,NA,NA
130,PAK,129,59.67,19.97,0.334674041,Pakistan,30.02,2008
131,PAN,131,83.66,56.59,0.676428401,Panama,51.92,2010
134,PNG,132,47.61,38.75,0.813904642,Papua New Guinea,50.88,1996
138,PRY,133,84.06,41.17,0.489769212,Paraguay,52.42,2010
132,PER,134,NA,NA,NA,Peru,48.14,2010
133,PHL,135,53.17,23.76,0.446868535,Philippines,42.98,2009
135,POL,136,NA,NA,NA,Poland,32.73,2011
137,PRT,137,NA,NA,NA,Portugal,38.45,1997
141,QAT,138,NA,NA,NA,Qatar,41.1,2007
92,KOR,139,NA,NA,NA,"Korea, Rep.",31.59,1998
105,MDA,140,92.62,47.27,0.510364932,Moldova,33.03,2010
142,ROU,141,NA,NA,NA,Romania,27.42,2011
143,RUS,142,NA,NA,NA,Russian Federation,40.11,2009
144,RWA,143,NA,NA,NA,Rwanda,50.82,2011
91,KNA,144,NA,NA,NA,St. Kitts and Nevis,NA,NA
98,LCA,145,NA,NA,NA,St. Lucia,42.58,1995
179,VCT,146,NA,NA,NA,St. Vincent and the Grenadines,NA,NA
183,WSM,147,NA,NA,NA,Samoa,NA,NA
152,SMR,148,NA,NA,NA,San Marino,NA,NA
155,STP,149,NA,NA,NA,Sao Tome and Principe,50.82,2001
145,SAU,150,NA,NA,NA,Saudi Arabia,NA,NA
147,SEN,151,NA,NA,NA,Senegal,40.3,2011
154,SRB,152,NA,NA,NA,Serbia,29.62,2010
161,SYC,153,NA,NA,NA,Seychelles,65.77,2007
150,SLE,154,NA,NA,NA,Sierra Leone,35.35,2011
148,SGP,155,NA,NA,NA,Singapore,42.48,1998
157,SVK,156,NA,NA,NA,Slovak Republic,26,2009
158,SVN,157,NA,NA,NA,Slovenia,31.15,2004
149,SLB,158,NA,NA,NA,Solomon Islands,NA,NA
153,SOM,159,NA,NA,NA,Somalia,NA,NA
185,ZAF,160,NA,NA,NA,South Africa,63.14,2009
52,ESP,161,NA,NA,NA,Spain,34.66,2000
99,LKA,162,56.42,24.14,0.42786246,Sri Lanka,36.4,2010
146,SDN,163,69.37,40.04,0.577194753,Sudan,35.29,2009
156,SUR,164,NA,NA,NA,Suriname,52.88,1999
160,SWZ,165,NA,NA,NA,Swaziland,51.49,2010
159,SWE,166,NA,NA,NA,Sweden,25,2000
30,CHE,167,NA,NA,NA,Switzerland,33.68,2000
162,SYR,168,NA,NA,NA,Syrian Arab Republic,35.78,2004
166,TJK,169,69.55,25.81,0.371099928,Tajikistan,30.83,2009
165,THA,170,NA,NA,NA,Thailand,39.37,2010
109,MKD,171,NA,NA,NA,"Macedonia, FYR",43.56,2010
168,TLS,172,46.46,23.31,0.501721911,Timor-Leste,NA,NA
164,TGO,173,66.41,47.33,0.712693871,Togo,39.29,2011
169,TON,174,NA,NA,NA,Tonga,NA,NA
170,TTO,175,NA,NA,NA,Trinidad and Tobago,40.27,1992
171,TUN,176,NA,NA,NA,Tunisia,36.06,2010
172,TUR,177,NA,NA,NA,Turkey,40.03,2010
167,TKM,178,NA,NA,NA,Turkmenistan,40.77,1998
174,UGA,180,47.48,26.32,0.554338669,Uganda,44.3,2009
175,UKR,181,NA,NA,NA,Ukraine,25.62,2010
4,ARE,182,NA,NA,NA,United Arab Emirates,NA,NA
60,GBR,183,NA,NA,NA,United Kingdom,35.97,1999
173,TZA,184,NA,NA,NA,Tanzania,37.58,2007
177,USA,185,NA,NA,NA,United States,40.81,2000
176,URY,186,NA,NA,NA,Uruguay,45.32,2010
178,UZB,187,NA,NA,NA,Uzbekistan,36.72,2003
182,VUT,188,NA,NA,NA,Vanuatu,NA,NA
180,VEN,189,73.96,50.89,0.688074635,"Venezuela, RB",44.77,2006
181,VNM,190,56.56,21.89,0.387022631,Vietnam,35.57,2008
184,YEM,191,77.84,54.88,0.705035971,"Yemen, Rep.",37.69,2005
186,ZMB,192,NA,NA,NA,Zambia,57.49,2010
187,ZWE,193,NA,NA,NA,Zimbabwe,50.1,1995
121,NCL,196,NA,NA,NA,New Caledonia,NA,NA
139,PSE,197,NA,NA,NA,West Bank and Gaza,35.5,2009
140,PYF,199,NA,NA,NA,French Polynesia,NA,NA
