"","countrycode","Country.Name","protein.amb.g","protein.co2.g","protein.co2.g.SE","pop"
"198","SST","Small states",58,55.1944810481925,0.447810013987562,46064000
"199","STP","Sao Tome and Principe",56,52.7910166170838,0.468243814893441,183000
"200","SUR","Suriname",53,50.4987791090715,0.39683826280302,530000
"201","SUSAAF","SUSAAF",55.7944717006177,53.726679946109,0.65796151788451,775971000
"202","SVK","Slovak Republic",53,50.2683286954909,0.661396091026636,5440000
"203","SVN","Slovenia",71,68.014438518281,0.672030405765554,2062000
"204","SWE","Sweden",72,69.2828287930091,0.475945112755603,9449000
"205","SWZ","Swaziland",49,46.6949053121468,1.03909947053012,1212000
"206","SYR","Syrian Arab Republic",61,57.0902168615359,0.939362322830903,21804000
"207","TCD","Chad",58,57.2022175330589,0.471554153334535,12080000
"208","TGO","Togo",54,51.9410089247024,0.944264022407204,6472000
"209","THA","Thailand",49,46.4522424895653,0.368151930612347,66576000
"210","TJK","Tajikistan",46,42.5358021182654,0.755917720751304,7815000
"211","TKM","Turkmenistan",74,69.7143741720515,1.11778692258564,5107000
"212","TLS","Timor-Leste",53,50.9545224824657,0.929237351974526,1096000
"213","TTO","Trinidad and Tobago",64,61.3650722990808,0.554376012286936,1333000
"214","TUN","Tunisia",82,76.2616818979447,1.26865510459292,10753000
"215","TUR","Turkey",83,77.3904669200539,1.1438813154464,73059000
"216","TWN",NA,76,73.4189899421146,0.38425407269768,23210000
"217","TZA","Tanzania",51,48.8563604986637,0.806232764585982,46355000
"218","UGA","Uganda",48,46.0552581407879,0.573401082962198,35148000
"219","UKR","Ukraine",65,61.2351901259119,0.668416579608188,45803000
"220","URY","Uruguay",63,60.3644885223322,0.613649205937987,3383000
"221","USA","United States",78,75.5331881743775,0.50853521778369,314912000
"222","UZB","Uzbekistan",66,61.2680957579482,1.01902278011188,28152000
"223","VCT","St. Vincent and the Grenadines",78,74.8572535761405,0.452832578529633,109000
"224","VCT","St. Vincent and the Grenadines",78,74.8572535761405,0.452832578529633,109000
"225","VEN","Venezuela, RB",68,65.5845733384854,0.644637713446357,29501000
"226","VNM","Vietnam",71,67.6730388475712,0.534752082464836,89914000
"227","VUT","Vanuatu",60,57.5996272668128,0.331868851986686,242000
"228","WeAf",NA,58,55.7420312956389,0.567603163707154,313570000
"229","WeAs",NA,69,64.8125788850315,0.918557268994277,230338000
"230","WeEu",NA,75,72.0414917645579,0.600111058981489,191012000
"231","WLD","World",66,62.7763646201918,0.530504594870843,6887310000
"232","WSM","Samoa",76,73.9002693812667,0.324032843021572,187000
"233","YEM","Yemen, Rep.",49,46.414548251537,0.722513697777284,23304000
"234","ZAF","South Africa",68,65.4487172859969,1.34499697456658,51949000
"235","ZMB","Zambia",50,48.2598687173125,1.52868572667545,13634000
"236","ZWE","Zimbabwe",47,45.208970886179,1.36339586523993,13359000
