"","countrycode","country","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI"
"139","AUT","Austria",0.569184079854203,0.427965586347602,4.20746259408728,4.2778705809181,4.1669231142494,4.18107937344883,4.15256357423606,4.23733110108022,4.25148736027965,4.22297156106688
"140","AZE","Azerbaijan",0.594599398816092,0.449582232845265,4.08590565450509,4.16161778499625,4.01406663635832,4.04904223713372,3.97782326809005,4.08977876684948,4.12475436762488,4.05353539858121
"141","BDI","Burundi",0.592114212343904,0.505388080453532,3.56474812045852,3.61233918475608,3.50665830299967,3.54692255245578,3.46470458059262,3.55424936729723,3.59451361675335,3.51229564489018
"142","BEL","Belgium",0.590423760697425,0.427965586347602,4.12976498460613,4.21248782165525,4.08347218000223,4.10146687420791,4.06514773393208,4.16619501705136,4.18418971125704,4.1478705709812
"143","BEN","Benin",0.622799063937535,0.501534271825393,3.81339384821174,3.88156487232476,3.76877430082538,3.79152879563926,3.7454899591873,3.8369453249384,3.85969981975228,3.81366098330032
"144","BFA","Burkina Faso",0.629643473548883,0.577590689277607,4.10583964131282,4.13725959103408,4.08688863487774,4.11347750534406,4.0595734402826,4.118308584599,4.14489745506532,4.09099339000386
"145","BGD","Bangladesh",0.585651783761064,0.482387566298118,3.74052899951689,3.79567412336864,3.67377873464877,3.69809631047709,3.64885504448285,3.72892385850052,3.75324143432884,3.7040001683346
"146","BGR","Bulgaria",0.563930257725506,0.456770035259898,3.99987441557049,4.05456365080401,3.95016690967394,3.97560634008332,3.92406338368302,4.00485614490746,4.03029557531684,3.97875261891653
"147","BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","BHS","Bahamas",NA,0.438488184159075,NA,4.04699878256797,NA,NA,NA,4.00961797863254,4.01700244039333,4.00217858067048
"149","BIH","Bosnia and Herzegovina",0.608851171562302,0.439427616294098,4.07733000248492,4.16613156206036,4.0118246401699,4.04346430748162,3.97915110398183,4.10062619974534,4.13226586705706,4.06795266355727
"150","BLR","Belarus",0.554656147670736,0.432792211465264,4.12284439794159,4.18301156986356,4.07347984454492,4.08539252780565,4.06142353658723,4.13364701646689,4.14555969972762,4.1215907085092
"151","BLZ","Belize",0.710898007711834,0.474911229509191,3.77266370205082,3.91258135277818,3.72290766768391,3.7452981896499,3.70000430556982,3.86282531841127,3.88521584037726,3.83992195629718
"152","BMU","Bermuda",NA,0.464669243895559,NA,4.26148909935579,NA,NA,NA,4.23433386005053,4.24347499338682,4.2251083949147
"153","BOL","Bolivia (Plurinational State of)",0.730960061902753,0.479085752531057,3.74018187918403,3.89257160609335,3.69815083559201,3.71582261958062,3.68016113304363,3.85054056250133,3.86821234648993,3.83255085995294
"154","BRA","Brazil",0.720765414231563,0.523294052736822,4.08405403067749,4.20688708903882,4.04577255672433,4.06175907543397,4.02952631148999,4.16860561508566,4.18459213379531,4.15235936985132
"155","BRB","Barbados",NA,0.436600915721268,NA,4.16736969723699,NA,NA,NA,4.13588575151717,4.14938274391092,4.12220409506874
"156","BRN","Brunei Darussalam",NA,0.435653040426273,NA,4.12461091935978,NA,NA,NA,4.08563859171521,4.09749793363863,4.07363691612916
"157","BTN",NA,0.623440534970185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","BWA","Botswana",0.761129388578963,0.472380727077439,3.60216132503133,3.78024852245352,3.56892000123959,3.59154181476824,3.54577457331021,3.74700719866178,3.76962901219043,3.7238617707324
"159","CAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","CAF","Central African Republic",0.73102401130245,0.503851886924174,3.62462224556026,3.7648869361321,3.5942416048512,3.61605787677421,3.57193874800954,3.73450629542304,3.75632256734605,3.71220343858138
"161","CALACA","CALACA",0.678019679657449,0.4968867132449,3.82925866351017,3.93566580361191,3.78923558572344,3.81920828592727,3.75833669072565,3.89564272582518,3.92561542602901,3.86474383082738
"162","CAN","Canada",0.588118724644867,0.428936867281207,4.25787498170436,4.33882338078681,4.22232312047389,4.23585162715546,4.20860908044163,4.30327151955633,4.3168000262379,4.28955747952407
"163","CANAME","CANAME",0.58730166371063,0.486762555000405,4.13440014541696,4.18839287504033,4.06694854220893,4.09396349820049,4.0391834670486,4.1209412718323,4.14795622782387,4.09317619667197
"164","CEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","CEB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","CEEAEU","CEEAEU",0.596543637774499,0.439413551080312,4.110978376018,4.19236839746611,4.05860088175158,4.07862302530981,4.03816964713525,4.13999090319969,4.16001304675792,4.11955966858336
"167","Central America","Central America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Central Asia","Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","CEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","CHE","Switzerland",0.594429733306791,0.428936867281207,3.98220972944008,4.06688966530316,3.9371218472806,3.95446781637086,3.91946967636631,4.02180178314368,4.03914775223394,4.00414961222939
"171","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","CHL","Chile",0.704172098556409,0.441298172206176,4.00056606985669,4.1511232036531,3.96087202911931,3.98055634601803,3.94079244633087,4.11142916291572,4.13111347981445,4.09134958012728
"173","CHN","China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218
"174","CHN","China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072
"175","CHN","China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218
"176","CHN","China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072
"177","CIV","Côte d'Ivoire",0.639731573022418,0.564317048403231,3.72719738996346,3.77259876716506,3.67595358279289,3.69279302643218,3.65882570834474,3.72135495999449,3.73819440363378,3.70422708554634
"178","CIV","Côte d'Ivoire",0.639731573022418,0.564317048403231,3.72719738996346,3.77259876716506,3.67595358279289,3.69279302643218,3.65882570834474,3.72135495999449,3.73819440363378,3.70422708554634
"179","CLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","CMR","Cameroon",0.624491121365301,0.476587423862346,3.97939268956359,4.06081948360376,3.93977685866473,3.96188573108102,3.91716811152085,4.02120365270491,4.04331252512119,3.99859490556102
"182","COD","Democratic Republic of the Congo",0.657247233587957,NA,2.97036567013313,NA,2.91947835045883,2.94665324212389,2.89154430614455,NA,NA,NA
"183","COG","Congo",0.674802175239916,0.500758143565517,3.70414664487006,3.80644627355073,3.65889609156479,3.67038058962743,3.64727816597468,3.76119572024546,3.7726802183081,3.74957779465535
"184","COL","Colombia",0.728532115447865,0.499980204875923,3.56326187486962,3.70365129385521,3.52259330576726,3.54167923551014,3.50313600383416,3.66298272475285,3.68206865449572,3.64352542281975
"185","COM","Comoros",0.783065481764489,0.487279033013975,3.54142190108671,3.72929724744472,3.49123353293644,3.51045704651632,3.47163322065644,3.67910887929445,3.69833239287433,3.65950856701444
"186","CPV","Cabo Verde",0.694553074493982,0.468119140728801,3.86967187752879,4.00130609921498,3.82420642010786,3.84556845166924,3.80237807257786,3.95584064179405,3.97720267335542,3.93401229426405
"187","CRI","Costa Rica",0.695860460145859,0.443157775521755,3.72818102355492,3.87209750654943,3.67965153148554,3.69574555743478,3.6632942451706,3.82356801448005,3.83966204042929,3.8072107281651
"188","CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","CSS","Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","CUB","Cuba",NA,0.445006573545981,NA,4.16366445179175,NA,NA,NA,4.1156850174336,4.13416077731959,4.09686146809041
"191","CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","CYP","Cyprus",NA,0.429905148832323,NA,3.96803379205015,NA,NA,NA,3.93012801652143,3.9454037640579,3.91461529590162
"194","CZE","Czech Republic",0.551105656221467,0.428936867281207,4.00702436120002,4.06688966530316,3.96439116536482,3.98256288097572,3.94588311734255,4.02425646946796,4.04242818507886,4.00574842144569
"195","DEU","Germany",0.564585129731352,0.427965586347602,4.13108125679151,4.19888216959947,4.0874881037797,4.1035395271345,4.07117482334036,4.15528901658766,4.17134043994246,4.13897573614832
"196","DJI","Djibouti",0.630641895511421,0.512215056853556,3.80847858504535,3.87615105299873,3.73916091811283,3.7753343612442,3.70162968754236,3.80683338606621,3.84300682919757,3.76930215549573
"197","DMA","Dominica",NA,0.460304637208337,NA,4.05294290384192,NA,NA,NA,4.00175256803432,4.01655079954919,3.98673205537841
"198","DNK","Denmark",0.545117677732751,0.427965586347602,4.18215669899796,4.23915606873741,4.13930743399573,4.15286212376905,4.12556648705857,4.19630680373518,4.2098614935085,4.18256585679802
"199","DOM","Dominican Republic",0.674067850030109,0.466398769861772,3.68483927220604,3.80325909916386,3.63447477189514,3.64857421116515,3.62017369202991,3.75289459885296,3.76699403812297,3.73859351898773
"200","DZA","Algeria",0.603809167372676,0.494483141320715,4.09437336371441,4.15440933049085,4.01483273179985,4.04728638133721,3.98129041284608,4.0748686985763,4.10732234811365,4.04132637962253
"201","EAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","EAS","Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Eastern Africa","Eastern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Eastern Europe","Eastern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","ECA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","ECS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","ECU","Ecuador",0.686737596695488,0.454093416142425,3.57085822641277,3.70356207447837,3.52292013811461,3.53495246215726,3.51074127222155,3.65562398618021,3.66765631022286,3.64344512028715
"208","EGY","Egypt",0.578126581999125,0.503851886924174,4.37617960986301,4.41636142029148,4.31346002600167,4.34221210615883,4.28385672910524,4.35364183643014,4.3823939165873,4.32403853953371
"209","EMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","ERI","Eritrea",NA,0.484842368383255,NA,3.72834714183386,NA,NA,NA,3.69304668851196,3.71799504130003,3.66745995490933
"211","ESEASP","ESEASP",0.59721060049329,0.502508201767343,3.90764018274478,3.95971318699383,3.85752117052429,3.87411528550491,3.84064703770962,3.90959417477334,3.92618828975396,3.89272004195868
"212","ESP","Spain",0.599988821410344,0.432792211465264,4.22672595435557,4.31306469811176,4.19078173544318,4.2048034144508,4.17656064962152,4.27712047919937,4.29114215820699,4.26289939337771
"213","EST","Estonia",0.607645473022924,0.464669243895559,4.02007610894834,4.09673386627973,3.96535601839254,3.98600903670056,3.94426744151175,4.04201377572393,4.06266679403196,4.02092519884314
"214","ETH","Ethiopia",0.593977449947511,0.575101349252658,3.8309285797094,3.84196240427636,3.7882170811077,3.81574517037079,3.75990969293248,3.79925090567466,3.82677899493775,3.77094351749944
"215","Europe","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","EUU","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","EUU","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","FCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","FIN","Finland",0.556815831235897,0.427965586347602,4.21442591750956,4.2778705809181,4.16944058462025,4.18440210656082,4.15425181120957,4.23288524802879,4.24784676996936,4.21769647461811
"220","FJI","Fiji",0.647646649767822,0.462930451198671,3.97993165054868,4.08250244070292,3.93816863506811,3.95953787196355,3.91633276412928,4.04073942522235,4.06210866211779,4.01890355428351
"221","FRA","France",0.589129944626248,0.428936867281207,4.22091210884478,4.30245573661593,4.17989078494568,4.19678255314792,4.16270877519778,4.26143441271683,4.27832618091907,4.24425240296894
"222","FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","FSM","Micronesia",0.762043020194141,NA,3.97232509472801,NA,3.93658027608597,3.94745864262807,3.92558226798773,NA,NA,NA
"224","GAB","Gabon",0.639435182046081,0.442229333653903,4.12629466426718,4.23294994851434,4.0894284357185,4.10126338924687,4.07745173684122,4.19608371996567,4.20791867349404,4.18410702108838
"225","GBR","United Kingdom",0.60747335777287,0.428936867281207,4.14622140008441,4.23873992222982,4.10817907965334,4.12487018263204,4.09120464799853,4.20069760179875,4.21738870477746,4.18372317014395
"226","GEO","Georgia",0.64329488194742,0.590971596703205,3.87062329133585,3.90291372985075,3.80582812324202,3.83915256401639,3.7713547671713,3.83811856175693,3.8714430025313,3.80364520568621
"227","GHA","Ghana",0.647228579012043,0.492099133457855,3.90142144742834,3.98979308559833,3.85524190005615,3.87003504577362,3.84022662710635,3.94361353822613,3.95840668394361,3.92859826527634
"228","GIN","Guinea",0.627063950389042,0.53682580740258,3.73522103378557,3.78773465897761,3.6791906494215,3.69647171462582,3.66160568968569,3.73170427461354,3.74898533981786,3.71411931487773
"229","GMB","Gambia",0.674557348692328,0.497635431731501,3.93136927502226,4.03506257190237,3.89545849382308,3.91217299917589,3.87845985795277,3.9991517907032,4.01586629605601,3.98215315483289
"230","GNB","Guinea-Bissau",0.604895456641854,0.503081134293627,3.53062280997133,3.58702675286323,3.47576734278499,3.49385965035676,3.45734166288422,3.53217128567689,3.55026359324866,3.51374560577612
"231","GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","GRC","Greece",0.597772412851225,0.430870452556948,4.19078192368403,4.27662317902371,4.13617050008033,4.1549433937641,4.11703843135438,4.22201175542,4.24078464910377,4.20287968669405
"233","GRD","Grenada",NA,0.493690373536489,NA,3.95567235144442,NA,NA,NA,3.91695845826535,3.92880718737926,3.90496765164986
"234","GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","GTM","Guatemala",0.728404444042723,0.538913998815958,3.64673648837755,3.76680885636824,3.60282202824844,3.65470261269052,3.54810185769416,3.72289439623913,3.77477498068121,3.66817422568485
"236","GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","GUY","Guyana",0.657910401968286,0.479914320542959,3.87792151371306,3.979185684691,3.83159636868563,3.84957022312027,3.81329353272299,3.93286053966356,3.9508343940982,3.91455770370092
"238","HIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","HIGHIN","HIGHIN",0.597778193885594,0.429102662953373,4.18192914397923,4.26853398084495,4.14443325182903,4.15780379004699,4.13088151688513,4.23103808869476,4.24440862691271,4.21748635375086
"240","HKG","China, Hong Kong SAR",0.651296794847301,NA,4.37287372118139,NA,4.34624329495269,4.35248343477869,4.33996397114014,NA,NA,NA
"241","HND","Honduras",0.735186858609464,0.525466874389162,3.6809938600454,3.81318600054127,3.62992745292598,3.67507512082608,3.58264469918824,3.76211959342185,3.80726726132194,3.71483683968411
"242","HPC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","HRV","Croatia",0.594260100112368,0.433748708488446,3.88387047725364,3.96637403948872,3.83244725115627,3.8535122967528,3.81092890346186,3.91495081339135,3.93601585898789,3.89343246569695
"244","HTI","Haiti",0.749753447935206,0.533316772407458,3.38249652978428,3.52134825626409,3.33577403605278,3.36403342527924,3.3066927717762,3.47462576253259,3.50288515175906,3.44554449825601
"245","HUN","Hungary",0.580405008397434,0.478255088428874,3.9424388772869,3.99650989936926,3.89790019782837,3.91869472107648,3.87666406303074,3.95197121991073,3.97276574315884,3.9307350851131
"246","IDN","Indonesia",0.620009236968451,0.503081134293627,3.85084554087145,3.91650595399347,3.79963697911253,3.82001056362209,3.77883966377999,3.86529739223455,3.88567097674411,3.84450007690201
"247","IMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","IND","India",0.595674697107097,0.473226406157533,3.69378683852108,3.7592293951655,3.62563694149095,3.64822442621743,3.60252744874389,3.69107949813538,3.71366698286186,3.66797000538832
