"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3775","Central Asia","Central Asia",61,259.25,57.1570019442723,242.917258263157,0.842538583832947,38,2413,-6.29999681266834,1.38121079316877,-0.676864556023318,0.148395730679238
"3777","CHE","Switzerland",64,272,61.1784621056989,260.008463949221,0.546151494414416,185,3002,-4.4086529598454,0.853361710022524,-0.399451567314441,0.0773199150986431
"3779","CHL","Chile",70,297.5,67.2758412588855,285.922325350263,0.682346267994233,40,2796,-3.8916553444493,0.974780382848904,-0.414079923095016,0.10371858508496
"3780","CHN","China, mainland",84,357,79.0422438493477,335.929536359728,0.53734982918541,44,2913,-5.90209065553845,0.639702177601679,-0.723325219370831,0.0783981041550976
"3781","CHN","China, mainland",84,357,79.0422438493477,335.929536359728,0.53734982918541,44,2911,-5.90209065553845,0.639702177601679,-0.723822179329175,0.0784519675038816
"3782","CHN","China",86,365.5,81.0434951520527,344.434854396224,0.538822645888507,41,2913,-5.76337773017123,0.626537960335473,-0.723142657184202,0.0786129847245505
"3783","CHN","China",86,365.5,81.0434951520527,344.434854396224,0.538822645888507,41,2911,-5.76337773017123,0.626537960335473,-0.723639491713358,0.0786669957068415
"3784","CIV","Côte d'Ivoire",51,216.75,48.4523977149904,205.922690288709,0.419806067087415,NA,2691,-4.99529859805802,0.823149151151795,-0.402352646276134,0.0663015899339099
"3785","CIV","Côte d'Ivoire",51,216.75,48.4523977149904,205.922690288709,0.419806067087415,NA,NA,-4.99529859805802,0.823149151151795,NA,NA
"3790","CMR","Cameroon",65,276.25,62.4753100189476,265.520067580527,0.712571860142291,33,2527,-3.88413843238837,1.09626440021891,-0.424611492658206,0.119842912766313
"3791","COD","Democratic Republic of the Congo",24.2,102.85,22.9993352534678,97.747174827238,0.323252096105595,NA,1721,-4.9614245724473,1.33575246324626,-0.296503496383611,0.079826926696617
"3792","COG","Congo",51,216.75,48.7436571589588,207.160542925575,0.287256769268863,47,2151,-4.42420164910035,0.563248567193849,-0.445813903971408,0.0567569162897567
"3794","COL","Colombia",46,195.5,44.1667757862297,187.708797091476,0.434214172719913,46,2361,-3.98527002993548,0.943943853738941,-0.329995887696902,0.0781622293121401
"3795","COM","Comoros",46.9,199.325,44.6042571962752,189.56809308417,0.441706742692772,NA,2409,-4.89497399514885,0.94180542151977,-0.405018967033227,0.0779266773119254
"3796","CPV","Cabo Verde",61,259.25,58.2887091644601,247.727013948956,0.642122492229278,31,2430,-4.44473907465552,1.05265982332669,-0.474196956833105,0.112305374155326
"3797","CRI","Costa Rica",53,225.25,50.4893499258409,214.579737184824,0.417934155618041,48,2585,-4.73707561162089,0.788555010600077,-0.412776124378184,0.0687125787766605
"3799","CSS","Caribbean",55,233.75,52.2091203861207,221.888761641013,0.480319989545014,35,2563,-5.07432657068956,0.873309071900025,-0.462787294537137,0.0796472866003242
"3800","CUB","Cuba",71,301.75,67.6738906251891,287.614035157054,0.643851216351795,50,3092,-4.68466109128297,0.906832699087036,-0.457178681854668,0.0884983075515889
"3804","CYP","Cyprus",58,246.5,55.8426120644016,237.331101273707,0.438564459406439,51,2295,-3.7196343717213,0.756145619666274,-0.399516284370066,0.0812156406308221
"3805","CZE","Czech Republic",64,272,61.328820505826,260.647487149761,0.573794506021912,52,2950,-4.17371795964685,0.896553915659237,-0.384830944075912,0.0826653101895974
"3806","DEU","Germany",73,310.25,69.8860660478776,297.01578070348,0.576950105256161,75,3100,-4.2656629481129,0.790342609939947,-0.426910299887751,0.0790979983012479
"3807","DJI","Djibouti",55,233.75,51.3166632077978,218.095818633141,0.964430259251248,55,2429,-6.69697598582216,1.753509562275,-0.644470208598573,0.168745516748366
"3808","DMA","Dominica",64,272,60.8062602039262,258.426605866686,0.462508158098065,56,2696,-4.99021843136529,0.722668997028227,-0.503464174084331,0.072910225219465
"3809","DNK","Denmark",76,323,72.8122401708107,309.452020725946,0.506972721549475,54,2904,-4.19442082788064,0.667069370459835,-0.466528211916475,0.0741953879678122
