"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3977","POL","Poland",65.3521126760564,277.746478873239,59.6277056061778,253.417748826256,0.73735859896212,150,2343,-8.75932978365037,1.12828578720497,-1.03835808992676,0.133750492769484
"3978","POLYN","Polynesia",39.9213081246806,169.665559529893,37.1552461787889,157.909796259853,0.327968828704303,151,1957,-6.92878584352206,0.821538281461128,-0.600703284110356,0.0712247073067597
"3979","PRI","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3980","PRK","Democratic People's Republic of Korea",49.7673448095983,211.511215440793,46.3909102381576,197.16136851217,0.692644975187266,53,1917,-6.7844378364134,1.3917659819651,-0.748557481931299,0.153559788447881
"3981","PRT","Portugal",59.1132075471698,251.231132075472,53.9234103373922,229.174493933917,0.570741048856767,152,2173,-8.77942075066108,0.965505125739185,-1.015031667812,0.11162675828998
"3982","PRY","Paraguay",42.1978557504873,179.340886939571,39.938147961387,169.737128835895,1.03035323020988,147,2052,-5.35502989171252,2.44171939991993,-0.468019400763955,0.213401619317348
"3983","PSE","Occupied Palestinian Territory",42.441209406495,180.375139977604,39.1099185568531,166.217153866626,0.662907837381117,143,1786,-7.84918925786329,1.56194379625683,-0.79272038695285,0.157746825804577
"3984","PSS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3985","PYF","French Polynesia",39.3651474530831,167.301876675603,36.634063565891,155.694770155037,0.366453238461533,71,1865,-6.93782206823205,0.930907826265064,-0.622364960888278,0.0835081106413682
"3986","QAT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3987","ROU","Romania",62.37805907173,265.106751054852,57.0714265617423,242.553562887405,0.89307591715454,155,2370,-8.50721004942687,1.43171482159708,-0.951611315082169,0.160150744637418
"3988","RUS","Russian Federation",56.8972081218274,241.813134517767,52.1223438247739,221.519961255289,0.77751329650037,156,2364,-8.3920889173149,1.36652275597701,-0.858425264910205,0.139781366756623
"3989","RWA","Rwanda",49.021728145528,208.342344618494,46.3582886843293,197.0227269084,0.788836284281218,157,1979,-5.43318149309612,1.60915641721043,-0.571986746341312,0.169406478433308
"3990","SAS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3991","SAU","Saudi Arabia",52.7476780185759,224.177631578947,48.47950540818,206.037897984765,0.682750208618115,163,2584,-8.09167866857152,1.29437016806252,-0.702002074078272,0.112294442206927
"3992","SCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3993","SDN","Sudan (former)",44.2152466367713,187.914798206278,42.9518660158125,182.545430567203,0.54056533898639,181,1784,-2.85734156667162,1.22257678087186,-0.300973522369678,0.128778177729381
"3994","SEN","Senegal",44.3656683057667,188.554090299508,41.9493343773233,178.284671103624,0.473953868379646,164,2237,-5.44640489080439,1.06828970796331,-0.459071041389547,0.090044878883035
"3995","SGP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3996","SGS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3997","SHN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3998","SLB","Solomon Islands",42.5661138502914,180.905983863738,39.7527677642259,168.94926299796,0.380723165134082,171,2231,-6.6093562028243,0.89442782226519,-0.535935493759672,0.0725268243756096
"3999","SLE","Sierra Leone",39.6034482758621,168.314655172414,37.2040869341291,158.117369470049,0.418484580107026,167,2146,-6.05846573010507,1.05668722882923,-0.475176407379552,0.082877887486247
"4000","SLV","El Salvador",47.4234449760766,201.549641148325,45.2092835393528,192.139455042249,1.14738018327604,63,2090,-4.66891732104386,2.41943659692976,-0.450248139046694,0.233318936790583
"4001","SMR","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4002","SOASIA","SOASIA",43.0275297845244,182.867001584229,39.9394657464793,169.742729422537,0.519992584933408,NA,2097.77385806498,-7.17694939381738,1.20851135897751,-0.625628549580523,0.105348270857255
"4003","SOL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4004","SOM","Somalia",21.4653979238754,91.2279411764706,20.5372725292528,87.2834082493243,0.29283834131741,172,1156,-4.32382105337231,1.36423439414413,-0.341222571552452,0.107661154896106
"4005","SOTRLA","SOTRLA",50.4760955673857,214.523406161389,46.9625996527312,199.591048524107,0.563692178058744,NA,2307.5068207211,-6.96071254157138,1.11675075443625,-0.647120845025954,0.103821654403648
"4006","SPM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4007","SRB","Serbia",53.7448165869219,228.415470494418,49.71981133413,211.309198170053,0.739191966311222,165,1881,-7.48910408184608,1.37537350251391,-0.909424365994968,0.167015728698708
"4008","SRB","Serbia",53.7448165869219,228.415470494418,49.71981133413,211.309198170053,0.739191966311222,165,1712,-7.48910408184608,1.37537350251391,-0.999198149787695,0.183502678552727
"4009","SRB","Serbia and Montenegro",35.2429906542056,149.782710280374,32.2921275393058,137.24154204205,0.421743417435341,166,1881,-8.37290780414427,1.19667318126708,-0.666728773967265,0.0952902458320149
"4010","SRB","Serbia and Montenegro",35.2429906542056,149.782710280374,32.2921275393058,137.24154204205,0.421743417435341,166,1712,-8.37290780414427,1.19667318126708,-0.732544873733894,0.104696817996507
"4011","SSA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4012","SSD","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4013","SSF","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4014","SST","Small Island Developing States",46.0912788070493,195.887934929959,42.8585299018937,182.148752083048,0.447810013987562,170,2213,-7.01379737951886,0.971572118582818,-0.620839712919613,0.0860005675303723
"4015","STP","Sao Tome and Principe",45.5115321252059,193.424011532125,42.0342523556621,178.645572511564,0.468243814893441,162,2428,-7.64043662599084,1.0288465209329,-0.608667175476164,0.0819619527717103
"4016","SUR","Suriname",36.1298932384342,153.552046263345,33.2147692463378,141.162769296936,0.39683826280302,182,2248,-8.0684544868661,1.09836544543362,-0.551124420213953,0.0750250274427418
"4017","SUSAAF","SUSAAF",49.2550900235668,209.334132600159,47.0236603737994,199.850556588647,0.65796151788451,NA,2167.28892445723,-4.53035340855069,1.33582441443047,-0.437577837661232,0.129024627009963
"4018","SVK","Slovakia",42.7852450732693,181.837291561395,39.1328942537993,166.314800578647,0.661396091026636,168,1979,-8.536472826591,1.5458508883004,-0.784360332629987,0.142038069068378
