plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.877548609,4,0.063724369,0.004060795,15.99826667,14.03925667,1.033777728,0.465128238,wet,1,TOS_2_maybe,yitpi,"1-Walpeup,_Australia2008550wetyitpiambientlowTOS_2_maybe",,"Walpeup,_Australia",2008,Walp,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.854373467,4,0.021413352,0.000458532,15.383735,13.143455,0.238476973,0.258848152,wet,1,TOS_2_maybe,yitpi,"1-Walpeup,_Australia2009550wetyitpiambientlowTOS_2_maybe",,"Walpeup,_Australia",2009,Walp,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.889555401,4,0.077613931,0.006023922,12.937165,11.508325,0.468397008,0.913572937,wet,1,TOS1_maybe,yitpi,"1-Walpeup,_Australia2009550wetyitpiambientlowTOS1_maybe",,"Walpeup,_Australia",2009,Walp,2,ok,
1,1,C3_cereal,wheat,350,550,FACE,1,field,1.007246377,4,0.049089625,0.002409791,138,139,,,NA,3,,default,1-1996550NANAambienthigh,Porteaus_et_al_2009,,1996,Zport,1,no_SE,
1,1,C3_cereal,wheat,350,550,FACE,1,field,0.732758621,4,0.049215131,0.002422129,116,85,,,NA,1,,default,1-1996550NANAambientlow,Porteaus_et_al_2009,,1996,Zport,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,0.976470588,1,0.009147942,8.36848E-05,17,16.6,,,NA,2,,default,1-550NANAambientmedium,Rogers_et_al_1996,,,Zrog96,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,1.01734104,1,0.009175815,8.41956E-05,17.3,17.6,,,NA,2,,default,1-550NANAambientmedium_high,Rogers_et_al_1996,,,Zrog96,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,0.870967742,1,0.009453825,8.93748E-05,15.5,13.5,,,NA,1,,default,1-550NANAambientvery_low,Rogers_et_al_1996,,,Zrog96,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,1.012269939,1,0.009714624,9.43739E-05,16.3,16.5,,,NA,3,,default,1-550NANAambienthigh,Rogers_et_al_1996,,,Zrog96,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,0.958823529,1,0.009063542,8.21478E-05,17,16.3,,,NA,3,,default,1-550NANAambientvery_high,Rogers_et_al_1996,,,Zrog96,1,ok,
1,1,C3_cereal,wheat,350,550,GH,0,pots,0.993865031,1,0.009626038,9.26606E-05,16.3,16.2,,,NA,1,,default,1-550NANAambientlow,Rogers_et_al_1996,,,Zrog96,1,ok,
