plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
13,32,pulses,peas,98,550,1,FACE,1,field,4,3.3225,0.027195281,0.000739583,dry,1,TOS_1_maybe,Bohatyr,"32-Horsham,_Australia2010550dryBohatyrambientlowTOS_1_maybe",,"Horsham,_Australia",2010,Hors,4,
2,2,C3_cereal,rice,99,584,1,FACE,1,field,4,1.2675,0.017017148,0.000289583,wet,3,,Takanari,"2-Tsukubamirai,_Japan2010584wetTakanariambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,
15,54,oilcrop,soybean,100,550,1,FACE,1,field,4,6.105,0.110642066,0.012241667,dry,1,,dwight,54-Champaign_Illinois2001550drydwightambientlow,,Champaign_Illinois,2001,Illn,1,
2,2,C3_cereal,rice,101,550,1,OTC,1,field,2,9.204,0.2,0.04,NA,2,,default,"2-Cuttack,_India2011550NANAambientNA",roy_et_al_2012_rice,"Cuttack,_India",2011,Indi,3,
16,55,oilcrop,peanut,102,548,1,OTC_,1,field,4,29.4,0.4,0.16,NA,2,,default,"55-Raleigh,_NC_2002,_2003548NANAambientNA",burkey_et_al_2007,"Raleigh,_NC_","2002,_2003",Rale,1,
16,55,oilcrop,peanut,103,730,1,OTC,1,field,4,29.9,0.4,0.16,NA,2,,default,"55-Raleigh,_NC_2002,_2003730NANAambientNA",burkey_et_al_2007,"Raleigh,_NC_","2002,_2003",Rale,1,
1,1,C3_cereal,wheat,104,550,1,FACE,1,field,4,12.97917625,0.167025834,0.027897629,wet,1,TOS1,yitpi,"1-Horsham,_Australia2007550wetyitpiambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,
1,1,C3_cereal,wheat,105,689,1,OTC,0,pots,4,3.3,,,NA,3,,janetzkis_fruher_1914,"1-Braunschweig,_Germany1994689NAjanetzkis_fruher_1914ambienthigh",Manderscheid_and_Weigel_1997,"Braunschweig,_Germany",1994,Brau,2,
15,54,oilcrop,soybean,106,550,1,FACE,1,field,4,6.0825,0.01652019,0.000272917,dry,1,,pana,54-Champaign_Illinois2007550drypanaambientlow,,Champaign_Illinois,2007,Illn,5,
2,2,C3_cereal,rice,107,650,1,tunnel,1,field,3,78.537,1.89,3.5721,wet,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2009650wetNAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2009,Kore,1,
