plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.977815201,4,0.050458315,0.10091663,13.54486,13.24437,0.367185591,0.581545826,wet,1,TOS2,janz,"1-Horsham,_Australia2007550wetjanzambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.970846315,4,0.036257933,0.072515866,13.50541125,13.11167875,0.392112623,0.308004434,dry,1,TOS2,janz,"1-Horsham,_Australia2007550dryjanzambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.973039908,4,0.042202411,0.084404822,14.240215,13.8562975,0.392680452,0.463865276,dry,1,TOS1,janz,"1-Horsham,_Australia2007550dryjanzambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,1.084275188,4,0.030693737,0.061387474,15.19166,16.47194,0.144259646,0.439270906,dry,2,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.888750611,4,0.022619549,0.045239098,13.631985,12.115435,0.251814992,0.212114495,wet,1,TOS1_maybe,h45,"1-Horsham,_Australia2009550weth45ambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,1.021780761,4,0.040943991,0.081887982,15.455888,15.792529,0.373940226,0.504459634,wet,1,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientlowTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.940869047,4,0.043757364,0.087514728,16.131213,15.177359,0.383266068,0.606797156,wet,2,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.964088331,4,0.066753215,0.13350643,15.92487,15.35298133,0.439081221,0.975116471,dry,1,TOS_2_maybe,janz,"1-Horsham,_Australia2008550dryjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.968824592,4,0.028136888,0.056273776,17.271434,16.73299,0.450923792,0.212860165,wet,1,TOS_2_maybe,janz,"1-Horsham,_Australia2008550wetjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.883198192,4,0.049676876,0.099353752,16.733217,14.778747,0.610093952,0.632962232,wet,2,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.886065803,4,0.044313499,0.088626998,17.130467,15.178721,0.638449529,0.50618528,wet,1,TOS1_maybe,janz,"1-Horsham,_Australia2008550wetjanzambientlowTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,1.00628563,4,0.06428105,0.1285621,14.98736,15.081565,0.640123901,0.716393623,dry,1,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientlowTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,no_SE,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.943531252,4,0.070325328,0.140650656,16.742978,15.797523,0.754403801,0.937942931,dry,1,TOS1_maybe,janz,"1-Horsham,_Australia2008550dryjanzambientlowTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.970021169,4,0.08146397,0.16292794,14.780563,14.337459,0.782658813,0.934579437,dry,1,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.853220816,4,0.050381775,0.10076355,16.308273,13.914558,0.858984907,0.371407982,wet,1,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
