order,weight by region,countrycode
174,COK,
175,FJI,
176,JPN,
177,KIR,
178,LAO,
179,MYS,
180,MHL,
181,FSM,
182,MNG,
183,NRU,
184,NZL,
185,NIU,
186,PLW,
187,PNG,
188,PHL,
189,KOR,
190,WSM,
191,SGP,
192,SLB,
193,TON,
194,TUV,
195,VUT,
196,VNM,
197,NCL,
198,PYF,
199,COD,
200,,
201,WOR,
202,HIGHIN,HIGHIN
203,SOTRLA,SOTRLA
204,CEEAEU,CEEAEU
205,CALACA,CALACA
206,CANAME,CANAME
207,ESEASP,ESEASP
208,SUSAAF,SUSAAF
209,SOASIA,SOASIA
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
,,AFRICA
,,ALA
,,ALB
,,Americas
,,ASM
,,ANR
,,AND
,,AIA
,,ATA
,,ARB
,,ARM
,,ABW
,,Ashm
,,ASIA
,,AUS
,,Australia and New Zealand
,,AUT
,,AZE
,,BGD
,,BLR
,,BEL
,,BTN
,,BIH
,,IOT
,,VGB
,,BRN
,,BGR
,,KHM
,,CSS
,,CYM
,,Central America
,,Central Asia
,,CEB
,,CHI
,,CHN
,,HKG
,,MAC
,,CHN
,,TWN
,,COK
,,HRV
,,CUW
,,CYP
,,CZE
,,PRK
,,DNK
,,TLS
,,EAS
,,EAP
,,CEA
,,Eastern Africa
,,Eastern Europe
,,EST
,,Europe
,,EMU
,,EUU
,,ECS
,,ECA
,,CEU
,,EUU
,,FLK
,,FRO
,,FJI
,,FIN
,,FCS
,,FRA
,,GUF
,,PYF
,,ATF
,,Gaza
,,GEO
,,DEU
,,GRC
,,GRL
,,Guadeloupe
,,GUM
,,GGY
,,HMD
,,HPC
,,HIC
,,NOC
,,OEC
,,HUN
,,ISL
,,IND
,,IOA
,,IDN
,,IRL
,,IMN
,,ISR
,,ITA
,,JPN
,,JEY
,,KAZ
,,KIR
,,KOS
,,KGZ
,,LLDC
,,LAO
,,LCN
,,LAC
,,LCR
,,CLA
,,LVA
,,LDC
,,LeDeR
,,LeDeREC
,,LeDeRELDR
,,LIE
,,LTU
,,LIFDC
,,LMY
,,LIC
,,LMC
,,LUX
,,MKD
,,MYS
,,MDV
,,MLT
,,MHL
,,Martinique
,,Mayotte
,,Melanesia
,,MCA
,,FSM
,,Micronesia
,,MAFR
,,MEA
,,MNA
,,CME
,,MIC
,,MDA
,,MCO
,,MNG
,,MNE
,,MSR
,,MoDeR
,,MMR
,,CYN
,,MNP
,,NRU
,,NPL
,,NeFoIC
,,NLD
,,NCL
,,NZL
,,NIU
,,NFK
,,NAFR
,,NAC
,,NEUR
,,NOR
,,INX
,,PSE
,,Oceania
,,OED
,,OSS
,,PSS
,,PLW
,,PNG
,,PHL
,,PCN
,,POL
,,POLYN
,,PRT
,,PRI
,,KOR
,,ROU
,,RUS
,,SGS
,,SSD
,,SHN
,,VCT
,,BLM
,,MAF
,,SPM
,,WSM
,,SMR
,,SRB
,,SRB
,,SGP
,,SXM
,,SVK
,,SVN
,,SST
,,SLB
,,SOM
,,SOL
,,SouAm
,,SouEAs
,,SAS
,,CSA
,,SouCeAs
,,SCE
,,SouAfr
,,SouAs
,,SouEur
