countrycode,continentcode
MDG,SUSAAF
MWI,SUSAAF
MYS,ESEASP
MDV,ESEASP
MLI,SUSAAF
MLT,HIGHIN
MHL,ESEASP
Martinique,MINOR
MRT,SUSAAF
MUS,SUSAAF
Mayotte,SUSAAF
Melanesia,ESEASP_G
MEX,CALACA
MCA,CALACA_G
FSM,ESEASP
Micronesia,ESEASP_G
MAFR,SUSAAF_G
MEA,CANAME_G
MNA,CANAME_G
CME,CANAME_G
MIC,G
MDA,CEEAEU
MCO,HIGHIN
MNG,CANAME
MNE,CEEAEU
MSR,CALACA
MoDeR,G
MAR,CANAME
MOZ,SUSAAF
MMR,ESEASP
CYN,HIGHIN
MNP,ESEASP
NAM,SUSAAF
NRU,ESEASP
NPL,SOASIA
NeFoIC,G
NLD,HIGHIN
ANT,CALACA
NCL,ESEASP
NZL,HIGHIN
NIC,CALACA
NER,SUSAAF
NGA,SUSAAF
NIU,ESEASP
NFK,HIGHIN
NAFR,CANAME_G
NAC,HIGHIN_G
NEUR,HIGHIN_G
NOR,HIGHIN
INX,MINOR
PSE,CANAME
Oceania,ESEASP_G
OED,G
OMN,CANAME
OSS,G
PSS,ESEASP
PAK,SOASIA
PLW,ESEASP
PAN,CALACA
PNG,ESEASP
PRY,SOTRLA
PER,CALACA
PHL,ESEASP
PCN,MINOR
POL,CEEAEU
POLYN,ESEASP
PRT,HIGHIN
PRI,CALACA
QAT,CANAME
KOR,HIGHIN
ROU,CEEAEU
RUS,CEEAEU
RWA,SUSAAF
SGS,MINOR
SSD,SUSAAF
SHN,MINOR
KNA,CALACA
LCA,CALACA
VCT,CALACA
BLM,CALACA
MAF,CALACA
SPM,MINOR
VCT,CALACA
WSM,ESEASP
SMR,HIGHIN
STP,SUSAAF
SAU,CANAME
SEN,SUSAAF
SRB,CEEAEU
SRB,CEEAEU
SYC,SUSAAF
SLE,SUSAAF
SGP,HIGHIN
SXM,CALACA
SVK,CEEAEU
SVN,CEEAEU
SST,MINOR
SLB,ESEASP
SOM,SUSAAF
SOL,SUSAAF
ZAF,SUSAAF
SouAm,G
SouEAs,ESEASP_G
SAS,G
CSA,G
SouCeAs,G
SCE,G
SouAfr,SUSAAF_G
SouAs,G
SouEur,G
ESP,HIGHIN
LKA,ESEASP
SSF,SUSAAF_G
SSA,SUSAAF_G
CAA,SUSAAF_G
SDN,SUSAAF
SUR,CALACA
SWZ,SUSAAF
SWE,HIGHIN
CHE,HIGHIN
SYR,CANAME
TJK,CANAME
TZA,SUSAAF
THA,ESEASP
TGO,SUSAAF
TON,ESEASP
TTO,CALACA
TUN,CANAME
TUR,CANAME
TKM,CANAME
TCA,CALACA
TUV,ESEASP
VIR,CALACA
UGA,SUSAAF
UKR,CEEAEU
ARE,CANAME
GBR,HIGHIN
USA,HIGHIN
UMC,G
URY,SOTRLA
UZB,CANAME
VUT,ESEASP
VAT,HIGHIN
VEN,CALACA
VNM,ESEASP
ESH,CANAME
WLF,MINOR
WeAf,SUSAAF_G
WeAs,CANAME
WeEu,G
WLD,G
YEM,CANAME
ZMB,SUSAAF
ZWE,SUSAAF
FrePol,ESEASP_G
StKiN,CALACA
