"","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","countrycode","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"32","Burkina Faso",76,323,75.690755762,321.6857119885,0.910770211649486,"BFA",2634,-0.406900313157887,1.19838185743353,-0.0498970391609704,0.146954191325373
"33","Burundi",43,182.75,40.7060521492028,173.000721634112,2.64969988780486,"BDI",1604,-5.33476244371442,6.16209276233688,-0.607810371938161,0.702071354312385
"34","Côte d'Ivoire",54,229.5,50.723429468,215.574575239,0.935061501018377,"CIV",2762,-6.06772320740739,1.73159537225625,-0.504179028276611,0.143881657470243
"35","Cabo Verde",74,314.5,71.666228429,304.58147082325,0.757757339753272,"CPV",2674,-3.1537453662162,1.02399640507199,-0.370924800925578,0.120436375989207
"36","Cambodia",62,263.5,59.217719505,251.67530789625,0.640680171017848,"KHM",2394,-4.48754918548386,1.03335511454492,-0.493930330148286,0.113738125598407
"37","Cameroon",67,284.75,64.550720893,274.34056379525,1.51197136882444,"CMR",2575,-3.65564045820895,2.25667368481259,-0.404249949699027,0.249548672524422
"38","Canada",100,425,96.908226803,411.85996391275,0.431616116340513,"CAN",3361,-3.09177319699998,0.431616116340513,-0.390956146600713,0.0545780569606421
"39","Caribbean",61,259.25,58.28272375,247.7015759375,0.870530905145493,"CSS",2670,-4.4545512295082,1.42709984450081,-0.432525245786516,0.138567653440762
"40","Central African Republic",51,216.75,48.853727328,207.628341144,0.682278049435796,"CAF",2138,-4.20837778823527,1.33780009693293,-0.42664447408793,0.135625898508051
"41","Central America",68,289,66.668076052,283.339323221,1.10325773750683,NA,2834,-1.95871168823529,1.62243784927475,-0.199741594177839,0.165449731277489
"42","Central Asia",76,323,72.245683392,307.044154416,0.395235211868375,NA,2706,-4.93989027368421,0.520046331405757,-0.589646917368809,0.0620750055595194
"43","Chad",60,255,58.602221458,249.0594411965,0.826559622439101,"TCD",2050,-2.32963090333335,1.37759937073183,-0.289783356268293,0.171359921725179
"44","Chile",79,335.75,76.415222174,324.7646942395,0.378679379124424,"CHL",2951,-3.27187066582277,0.479340986233448,-0.372257057285665,0.0545370166478753
"45","China",90,382.5,84.918106519,360.90195270575,0.837115793035906,"CHN",2986,-5.64654831222223,0.930128658928784,-0.723310358146349,0.119147425331634
"46","China, Hong Kong SAR",109,463.25,106.204713173,451.37003098525,0.419662442879039,"HKG",3094,-2.56448332752295,0.385011415485357,-0.383967970741758,0.057645939955912
"47","China, Macao SAR",85,361.25,82.753762763,351.70349174275,0.304265619803635,"MAC",2752,-2.64263204352938,0.357959552710159,-0.34689346865007,0.0469886949188026
"48","China, mainland",87,369.75,81.937663887,348.23507151975,0.836977230705466,NA,2986,-5.81877714137929,0.962042793914329,-0.720526740798724,0.119127703633564
"49","China, Taiwan Province of",81,344.25,78.215328815,332.41514746375,0.43244967882272,"TWN",2886,-3.43786566049382,0.533888492373728,-0.410078050459112,0.0636836845113153
"50","Colombia",57,242.25,55.459693501,235.70369737925,0.486821713360031,"COL",2543,-2.70229210350874,0.854073181333388,-0.257424405062914,0.0813602942107799
"51","Comoros",48.5,206.125,46.2882015794664,196.724856712732,0.646773078241909,"COM",2139,-4.56040911450226,1.33355273864311,-0.439464389306582,0.12850797487275
"52","Congo",52,221,49.757469288,211.469244474,1.11171882971741,"COG",2177,-4.31255906153847,2.13792082637964,-0.437793088011024,0.217032844570464
"53","Cook Islands",NA,NA,NA,NA,NA,"COK",NA,NA,NA,NA,NA
"54","Costa Rica",68,289,65.534162538,278.5201907865,1.01928616088589,"CRI",2857,-3.6262315617647,1.49895023659689,-0.366811663055654,0.151626397751664
"55","Croatia",78,331.5,74.97657396,318.65043933,0.303159613968511,"HRV",3009,-3.87618723076921,0.388666171754501,-0.427037576271184,0.0428191545153264
"56","Cuba",79,335.75,75.715827215,321.79226566375,1.52797783749181,"CUB",3237,-4.15718074050634,1.93414916138204,-0.43119352289929,0.200614946226142
"57","Cyprus",72,306,69.639642986,295.9684826905,0.292297926489665,"CYP",2581,-3.27827363055554,0.405969342346757,-0.388667853913209,0.0481311967292164
"58","Czech Republic",83,352.75,80.116385617,340.49463887225,0.312880267465265,"CZE",3223,-3.47423419638554,0.376964177668994,-0.380247009858825,0.0412578695850877
"59","Democratic People's Republic of Korea",53,225.25,49.999542474,212.4980555145,1.41758194368126,"PRK",2083,-5.66124061509432,2.67468291260615,-0.612191285909744,0.289232993789983
"60","Democratic Republic of the Congo",24.5,104.125,23.2015918383265,98.6067653128876,1.18952463647819,"COD",1727,-5.29962514968776,4.85520259787016,-0.319527196705986,0.292731887957864
"61","Denmark",100,425,96.170580188,408.724965799,0.328016898136437,"DNK",3279,-3.82941981199998,0.328016898136437,-0.496341390698381,0.0425151514815449
"62","Djibouti",59,250.75,56.052115475,238.22149076875,0.50719403009731,"DJI",2499,-4.99641444915255,0.859650898470017,-0.501340905612246,0.0862574881117874
"63","Dominica",83,352.75,79.41083527,337.4960498975,0.356532166421558,"DMA",3024,-4.32429485542167,0.429556827013926,-0.504429566881613,0.0501078606908605
"64","Dominican Republic",55,233.75,52.665769162,223.8295189385,0.695711066685173,"DOM",2556,-4.24405606909091,1.26492921215486,-0.388125237147886,0.115679657019248
