Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair-CO2_ID,24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Wet,50,80,130,eCO2,Low,0,0,,TOS2,1,23,231,No,123.7598684,35.8875,40.545,2.788883333,16.73299,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,50,80,130,aCO2,Low,0,0,,TOS2,0,24,240,No,194.6743421,29.745,35.725,2.174308333,15.455888,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,50,80,130,eCO2,Low,0,0,,TOS2,1,24,241,No,203.5559211,32.67,36.21,2.572,15.792529,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,97,40,137,aCO2,Medium,50,0,,TOS1,0,25,250,No,341.4830476,31.095,43.12,2.605883333,16.733217,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,97,40,137,eCO2,Medium,50,0,,TOS1,1,25,251,No,458.7168976,25.115,40.8325,2.37125,14.778747,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,50,80,130,aCO2,Medium,50,0,,TOS2,0,26,260,No,200.5065789,33.75,35.325,2.30345,16.131213,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,50,80,130,eCO2,Medium,50,0,,TOS2,1,26,261,No,232.8651316,30.4275,36.5975,2.157666667,15.177359,,,,,,,,
AGFACE_Australia_Wheat,Walpeup_Australia,2009,wheat,Yitpi,Wet,220,12,232,aCO2,Low,0,0,,TOS1,0,27,270,No,177.955,22.815,39.9875,2.8265,12.937165,,,1.83,,0.4,,,
AGFACE_Australia_Wheat,Walpeup_Australia,2009,wheat,Yitpi,Wet,220,12,232,eCO2,Low,0,0,,TOS1,1,27,271,No,227.0775,21.485,37.8525,2.480091667,11.508325,,,1.65,,0.38,,,
AGFACE_Australia_Wheat,Walpeup_Australia,2009,wheat,Yitpi,Wet,117,12,129,aCO2,Low,0,0,,TOS2,0,28,280,No,121.9225,29.1575,42.32,3.171808333,15.383735,,,2.13,,0.35,,,
