num,locyrwntc,Location,year,Crop,WateringRegime,NapplicnQ,TOS,Cultivar,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrWNTC,CropCO2,PairedFACEdata$Location,RRB,RRCa,RRCu,RRFe,RRK,RRMg,RRMn,RRN,RRP,RRP,RRS,RRZn,RRyield
21,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Williams,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Williams,38.4,71.5,6.34,0.587,1.99,3110,56.6,0.247,0.219,29.3,12.1,,,,Champaign__Illinois 2001 soybean 3 13 17 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams,soybean aCO2,Champaign__Illinois,0.989399293,1.020242915,1.082644628,0.94965035,1.015075377,0.99086758,1.119453925,1.020504732,0.988074957,0.988074957,0.958199357,1.044270833,
22,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Clark,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Clark,43.5,74.4,6.57,0.572,1.9,3130,60.4,0.357,0.255,31.4,12,,,,Champaign__Illinois 2001 soybean 4 16 18 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark,soybean aCO2,Champaign__Illinois,0.786423841,0.929971989,1.041666667,1.037634409,1.031578947,0.956862745,1.098726115,1.01217656,1.038461538,1.038461538,0.96485623,0.986206897,
23,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Dwight,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Dwight,39.5,75.6,6.19,0.617,1.95,3040,46.3,0.373,0.254,31.2,11.3,,,,Champaign__Illinois 2001 soybean 4 16 13 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight,soybean aCO2,Champaign__Illinois,0.995680346,0.922252011,1.044247788,0.882275132,1,0.992125984,1.192307692,0.964458805,0.867098865,0.867098865,0.970394737,0.941772152,
24,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Flyer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Flyer,36.7,74.3,6.43,0.57,1.89,3260,50.2,0.312,0.223,25.6,9.6,,,,Champaign__Illinois 2001 soybean 4 16 20 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer,soybean aCO2,Champaign__Illinois,1.027888446,1.022435897,0.947916667,0.849259758,0.989417989,0.98206278,1.16015625,0.98911353,0.90877193,0.90877193,0.911042945,0.923705722,
25,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Loda,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Loda,40.7,83.2,5.96,0.643,1.98,3080,39,0.28,0.249,31.2,13.4,,,,Champaign__Illinois 2001 soybean 4 16 21 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda,soybean aCO2,Champaign__Illinois,1.241025641,1,0.97761194,0.871394231,1.02020202,0.983935743,1.012820513,1.005033557,0.911353033,0.911353033,0.99025974,0.972972973,
26,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Pana,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Pana,45.9,81.5,6.48,0.59,1.85,3110,58.9,0.404,0.265,31.5,13.9,,,,Champaign__Illinois 2001 soybean 4 16 9 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana,soybean aCO2,Champaign__Illinois,0.752122241,0.849009901,0.992805755,0.948466258,1.005405405,0.871698113,1.126984127,0.959876543,0.962711864,0.962711864,0.916398714,0.928104575,
27,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Spencer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Spencer,40.4,79.7,6.68,0.649,1.99,3140,58.6,0.266,0.242,30.1,10.5,,,,Champaign__Illinois 2001 soybean 4 16 25 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer,soybean aCO2,Champaign__Illinois,0.735494881,0.95112782,1.019047619,0.869510665,1,0.917355372,1.043189369,0.971556886,0.822804314,0.822804314,0.904458599,0.846534653,
28,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Williams,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Williams,36.3,72.7,6.35,0.594,1.93,3110,50,0.279,0.227,27.9,11.2,,,,Champaign__Illinois 2001 soybean 4 16 6 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams,soybean aCO2,Champaign__Illinois,1.026,1.046594982,1.089285714,0.979367263,0.994818653,0.991189427,1.240143369,0.965354331,0.846801347,0.846801347,0.887459807,1.03030303,
29,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Clark,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Clark,39.6,72.6,6.71,0.601,2.04,3120,45.4,0.291,0.224,28,12.6,,,,Champaign__Illinois 2002 soybean 1 17 13 Dry Low 31/05/1998 Clark,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Clark,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark,soybean aCO2,Champaign__Illinois,0.933920705,0.896907216,0.992063492,0.987603306,0.990196078,0.915178571,0.875,1.019374069,0.991680532,0.991680532,0.955128205,0.95959596,
30,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Dwight,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Dwight,41,74.4,6.42,0.615,1.95,3090,43.2,0.397,0.246,30.2,14.2,,,,Champaign__Illinois 2002 soybean 1 17 14 Dry Low 31/05/1998 Dwight,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Dwight,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight,soybean aCO2,Champaign__Illinois,1.043981481,0.861460957,1.014084507,0.904569892,1,0.971544715,0.907284768,0.976635514,0.969105691,0.969105691,0.970873786,0.948780488,
31,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Flyer,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Flyer,36,72.4,6.77,0.583,1.96,3350,41.3,0.265,0.214,25,12.5,,,,Champaign__Illinois 2002 soybean 1 17 3 Dry Low 31/05/1998 Flyer,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Flyer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer,soybean aCO2,Champaign__Illinois,0.992736077,0.981132075,0.904,0.895027624,0.969387755,0.925233645,0.884,0.980797637,0.943396226,0.943396226,0.970149254,0.938888889,
32,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Loda,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Loda,39.7,88.2,6.54,0.622,1.97,3250,37.6,0.314,0.247,27.3,14,,,,Champaign__Illinois 2002 soybean 1 17 15 Dry Low 31/05/1998 Loda,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Loda,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda,soybean aCO2,Champaign__Illinois,0.962765957,0.904458599,1.007142857,0.842403628,0.984771574,0.951417004,0.879120879,0.951070336,0.982315113,0.982315113,0.92,0.972292191,
33,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Pana,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Pana,41.6,79.6,6.25,0.614,1.98,3010,43.5,0.367,0.231,29.3,15.7,,,,Champaign__Illinois 2002 soybean 1 17 12 Dry Low 31/05/1998 Pana,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Pana,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana,soybean aCO2,Champaign__Illinois,0.942528736,0.934604905,0.942675159,0.951005025,0.964646465,0.922077922,0.877133106,0.9888,0.938110749,0.938110749,0.956810631,0.963942308,
34,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Spencer,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Spencer,39.7,79.1,6.65,0.641,2.13,3310,45.7,0.234,0.222,25.8,13.2,,,,Champaign__Illinois 2002 soybean 1 17 4 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer,soybean aCO2,Champaign__Illinois,0.90809628,0.94017094,0.931818182,0.83312263,0.920187793,0.923423423,0.899224806,0.983458647,0.931357254,0.931357254,0.933534743,0.926952141,
35,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Williams,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Williams,34,73.2,6.76,0.536,1.95,3110,43.2,0.233,0.213,26.7,12.5,,,,Champaign__Illinois 2002 soybean 1 17 19 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams,soybean aCO2,Champaign__Illinois,0.965277778,0.987124464,0.92,0.99863388,0.974358974,0.943661972,0.876404494,0.979289941,0.981343284,0.981343284,0.954983923,0.935294118,
36,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Clark,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Clark,42.2,73.9,6.66,0.623,2.05,3040,42.5,0.29,0.228,24.2,14.7,,,,Champaign__Illinois 2002 soybean 2 24 19 Dry Low 31/05/1998 Clark,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Clark,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark,soybean aCO2,Champaign__Illinois,1.037647059,0.972413793,0.891156463,1.02165088,1.019512195,1.039473684,1.17768595,0.993993994,0.934189406,0.934189406,1.026315789,0.890995261,
37,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Dwight,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Dwight,43.8,72.5,6.42,0.62,1.89,3050,45.6,0.383,0.244,27.1,14.8,,,,Champaign__Illinois 2002 soybean 2 24 18 Dry Low 31/05/1998 Dwight,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Dwight,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight,soybean aCO2,Champaign__Illinois,0.947368421,0.825065274,0.864864865,1.002758621,1.031746032,0.942622951,1.247232472,0.973520249,0.962903226,0.962903226,0.954098361,0.910958904,
38,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Flyer,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Flyer,37.1,72.1,6.83,0.595,1.98,3360,38.3,0.26,0.21,23.4,13.1,,,,Champaign__Illinois 2002 soybean 2 24 10 Dry Low 31/05/1998 Flyer,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Flyer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer,soybean aCO2,Champaign__Illinois,1.075718016,0.965384615,0.954198473,1.062413315,0.95959596,0.971428571,1.145299145,0.972181552,0.941176471,0.941176471,0.985119048,0.983827493,
39,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Loda,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Loda,41.2,77.4,6.25,0.647,1.99,3130,35.8,0.272,0.243,23.7,15.2,,,,Champaign__Illinois 2002 soybean 2 24 20 Dry Low 31/05/1998 Loda,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Loda,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda,soybean aCO2,Champaign__Illinois,1.033519553,0.988970588,0.888157895,0.958656331,0.979899497,0.962962963,1.232067511,0.9872,0.880989181,0.880989181,0.971246006,0.905339806,
40,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Pana,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Pana,44.5,76.1,6.19,0.651,1.95,3070,43.1,0.369,0.225,25.3,16.3,,,,Champaign__Illinois 2002 soybean 2 24 3 Dry Low 31/05/1998 Pana,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Pana,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana,soybean aCO2,Champaign__Illinois,0.981438515,0.87804878,0.779141104,0.984231275,0.969230769,0.977777778,1.213438735,1.021001616,0.869431644,0.869431644,0.973941368,0.849438202,
41,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Spencer,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Spencer,40,72.3,6.68,0.663,2.06,3260,41.9,0.214,0.218,25.9,13.3,,,,Champaign__Illinois 2002 soybean 2 24 11 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer,soybean aCO2,Champaign__Illinois,0.914081146,0.971962617,0.902255639,0.987551867,0.990291262,0.972477064,1.131274131,0.988023952,0.886877828,0.886877828,0.935582822,0.96,
