Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","15","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","10","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","249","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","16","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","13","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","16","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","255","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","44","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","15","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","9","Argentina","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","46","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","16","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","328","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","28","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","19","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","10","Australia","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","36","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","1","Fc","Calculated data"
