"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","BFP","EAR_1","EAR_2","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"169","KGZ",285,"Kyrgyzstan",0.592734856441336,0.478255088428874,3.81575747705318,3.87706081726939,3.72999216860416,3.76369173890981,3.69511721214161,3.79129550882037,3.82499507912602,3.75642055235782,1.4993654112719,36.0958371948355,35.7594723405332,37.2588377518051,0.369256705045285,0.424996090385363,0.402847781721209,0.448168084688141,0.0557393853400778,0.0335910766759236,0.0789113796428564,5403000,"Kyrgyzstan",301159.89899244,181492.587280015,426358.184210353
"170","KHM",286,"Cambodia",0.607817620134975,0.500758143565517,3.74658573879047,3.80592750929015,3.67811908978391,3.702263117254,3.65337767518313,3.73746086028359,3.76160488775368,3.71271944568281,1.36030087878352,35.6545854514499,32.0591800921785,33.419480970962,0.348026282473562,0.39050188610467,0.375343483380552,0.406209758436629,0.0424756036311079,0.0273172009069895,0.0581834759630674,14606000,"Cambodia",620398.666635962,398995.036447489,849827.849916563
"171","KIR",287,"Kiribati",NA,0.491300640723447,NA,3.58392887537431,NA,NA,NA,3.51155175284923,3.53118226252098,3.49152815690796,1.97217393463415,36.0014354451303,NA,NA,NA,NA,NA,NA,NA,NA,NA,99000,"Kiribati",NA,NA,NA
"172","KNA",288,"Saint Kitts and Nevis",NA,0.479085752531057,NA,3.42084034967199,NA,NA,NA,3.34563899235504,3.36663984548133,3.32418762530747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53000,"Saint Kitts and Nevis",NA,NA,NA
"173","KOR",289,"Republic of Korea",0.582689551146728,0.433748708488446,3.94379425448933,4.01948883993942,3.85984410802328,3.87524432371377,3.84420301123344,3.93553869347337,3.95093890916386,3.91989759668353,0.857038799889726,38.6668702200936,38.8220542691612,39.6790930690509,0.325885414660585,0.379334174979913,0.369318261326011,0.389590298257881,0.0534487603193274,0.043432846665426,0.0637048835972956,48733000,"Republic of Korea",2604718.43664178,2116612.9165462,3104530.09234701
"174","KOS",290,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","KSV",475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","KWT",291,"Kuwait",NA,0.474911229509191,NA,3.90019777889768,NA,NA,NA,3.81358334898395,3.83885407042956,3.78765742496311,1.80375369023693,37.2771320905615,42.6206816982474,44.4244353884843,NA,NA,NA,NA,NA,NA,NA,3125000,"Kuwait",NA,NA,NA
"177","LAC",292,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","LAO",293,"Lao People's Democratic Republic",0.611901053052641,0.503851886924174,3.81115969902953,3.87143778641447,3.72473426023429,3.74909013977611,3.6997703314421,3.78501234761923,3.80936822716105,3.76004841882704,2.52947613407229,35.7609233016263,31.8922190064405,34.4216951405128,0.328055545043559,0.38054570441474,0.365478979772172,0.396178732778038,0.0524901593711811,0.0374234347286138,0.0681231877344792,6521000,"Lao People's Democratic Republic",342288.329259472,244038.21786529,444231.307216539
"179","LBN",294,"Lebanon",NA,0.473226406157533,NA,3.83125608712878,NA,NA,NA,3.74628769459282,3.77472357631187,3.71701948788573,1.04555664965002,37.3955746423005,38.9663092760418,40.0118659256918,NA,NA,NA,NA,NA,NA,NA,4478000,"Lebanon",NA,NA,NA
"180","LBR",295,"Liberia",0.620121110552797,0.550511738739587,3.26000309301006,3.30074660164163,3.18523853420126,3.20798416311979,3.16196347609161,3.22598204283283,3.24872767175137,3.20270698472319,1.96504439979693,33.3290138858369,29.5198864742082,31.4849308740051,0.620043512225273,0.665004192501236,0.651539516133687,0.678566000294359,0.0449606802759625,0.0314960039084136,0.0585224880690853,4080000,"Liberia",183439.575525927,128503.695946327,238771.751321868
"181","LBY",296,"Libya",NA,0.450489560363712,NA,3.83246151537127,NA,NA,NA,3.73945402150452,3.77465065265414,3.70297325280087,1.85681293502073,36.4853346341043,37.8547835679141,39.7115965029348,NA,NA,NA,NA,NA,NA,NA,6103000,"Libya",NA,NA,NA
"182","LCA",297,"Saint Lucia",0.646154296603395,0.474911229509191,3.54522637889778,3.64121372845033,3.46916180466377,3.4936800321383,3.44402729183829,3.56514915421632,3.58966738169085,3.54001464139084,1.37812027857473,37.1721503023098,38.3761320885952,39.7542523671699,0.584251757903007,0.629489496161142,0.615069499961243,0.644085272613833,0.0452377382581345,0.0308177420582358,0.0598335147108254,179000,"Saint Lucia",8097.55514820607,5516.37582842422,10710.1991332378
"183","LCN",298,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","LCR",299,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","LDC",300,"Least Developed Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773530000,"Least Developed Countries",NA,NA,NA
"186","LeDeR",301,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
