"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"91","ECU",207,"Ecuador",0.686737596695488,0.454093416142425,3.57085822641277,3.70356207447837,3.52292013811461,3.53495246215726,3.51074127222155,3.65562398618021,3.66765631022286,3.64344512028715,26.3806678622084,28.1486577498645,0.367000766660846,0.393579389881515,0.386855982060129,0.400417139978232,0.02657862322067,0.0198552153992838,0.0334163733173867,15246000,"Ecuador",5595293.68851125,405217.689622334,302712.61397748,509466.027596878
"92","EGY",208,"Egypt",0.578126581999125,0.503851886924174,4.37617960986301,4.41636142029148,4.31346002600167,4.34221210615883,4.28385672910524,4.35364183643014,4.3823939165873,4.32403853953371,26.6697819290068,30.1659801896566,0.0467802851668823,0.0583915880984384,0.0528148074626411,0.0646062922013589,0.0116113029315561,0.0060345222957588,0.0178260070344766,79392000,"Egypt",3713980.39996912,921844.562342101,479092.794104883,1415242.35048117
"93","EMU",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ERI",210,"Eritrea",NA,0.484842368383255,NA,3.72834714183386,NA,NA,NA,3.69304668851196,3.71799504130003,3.66745995490933,25.047152685438,22.7567163554217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ESEASP",211,"ESEASP",0.59721060049329,0.502508201767343,3.90764018274478,3.95971318699383,3.85752117052429,3.87411528550491,3.84064703770962,3.90959417477334,3.92618828975396,3.89272004195868,57.2653656879811,52.605817252612,0.536812717576593,0.569982252826563,0.559042852269164,0.581051379940367,0.0331695352499702,0.0222301346925711,0.0442386623637741,616053000,"ESEASP",330705085.101213,20434191.6993499,13694941.1677625,27253360.6651901
"96","ESP",212,"Spain",0.599988821410344,0.432792211465264,4.22672595435557,4.31306469811176,4.19078173544318,4.2048034144508,4.17656064962152,4.27712047919937,4.29114215820699,4.26289939337771,28.5609435632501,32.1383330160499,0.10362723655107,0.114828518627926,0.110360593021497,0.119489914505845,0.0112012820768566,0.00673335647042692,0.0158626779547752,46514000,"Spain",4820117.28093646,521016.434522909,313195.342865438,737836.602388415
"97","EST",213,"Estonia",0.607645473022924,0.464669243895559,4.02007610894834,4.09673386627973,3.96535601839254,3.98600903670056,3.94426744151175,4.04201377572393,4.06266679403196,4.02092519884314,28.5465899081537,30.4992781147683,0.160763878261714,0.183722229280468,0.174827366936067,0.193090141366174,0.0229583510187541,0.0140634886743527,0.0323262631044599,1294000,"Estonia",208028.458470658,29708.1062182678,18198.1543446124,41830.1844571711
"98","ETH",214,"Ethiopia",0.593977449947511,0.575101349252658,3.8309285797094,3.84196240427636,3.7882170811077,3.81574517037079,3.75990969293248,3.79925090567466,3.82677899493775,3.77094351749944,24.9129371803062,22.9401583939906,0.119958276279944,0.134951104872399,0.125147503742646,0.145568544204727,0.0149928285924553,0.00518922746270167,0.025610267924783,89393000,"Ethiopia",10723430.191493,1340253.92636536,463880.610573291,2289378.68060012
"99","Europe",215,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741012000,"Europe",NA,NA,NA,NA
"100","EUU",216,"European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507399000,"European Union",NA,NA,NA,NA
"101","EUU",217,"European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507399000,"European Union",NA,NA,NA,NA
